,pair,trial
21655,116,4
21849,116,14
21964,116,21
21996,116,23
22051,116,26
22125,116,30
22159,116,32
22212,116,35
22377,116,44
22411,116,46
22428,116,47
22500,116,51
22644,116,59
22663,116,60
22860,116,71
22908,116,73
22932,116,75
22965,116,76
23131,116,86
23192,116,89
23313,116,96
23370,116,99
23400,116,101
23474,116,105
23529,116,108
23580,116,111
23605,116,112
23664,116,115
23698,116,117
23724,116,119
23743,116,120
23770,116,121
23832,116,125
23916,116,129
24012,116,135
24626,116,169
24895,116,184
24912,116,185
24931,116,186
24973,116,188
25039,116,192
25056,116,193
25094,116,195
25200,116,201
25263,116,204
25297,116,206
25416,116,213
25435,116,214
25543,116,220
25579,116,222
25898,116,239
25992,116,245
26100,116,251
26176,116,255
26227,116,258
26292,116,261
26335,116,264
26824,116,291
