,pair,trial
64908,211,7
65052,211,15
65071,211,16
65088,211,17
65107,211,18
65160,211,21
65179,211,22
65217,211,24
65304,211,29
65448,211,37
65543,211,42
65719,211,52
65827,211,58
65899,211,62
65922,211,63
65971,211,66
66007,211,68
66079,211,72
66146,211,75
66259,211,82
66305,211,84
66331,211,86
66367,211,88
66405,211,90
66422,211,91
66464,211,93
66549,211,98
66589,211,100
66655,211,104
66678,211,105
66691,211,106
66763,211,110
66871,211,116
66928,211,119
67015,211,124
67205,211,134
67298,211,139
67379,211,144
67434,211,147
67447,211,148
67572,211,155
67699,211,162
67860,211,171
67881,211,172
67904,211,173
67968,211,177
68112,211,185
68133,211,186
68184,211,189
68220,211,191
68311,211,196
68408,211,201
68436,211,203
68516,211,207
68582,211,211
68656,211,215
68762,211,221
68796,211,223
69088,211,239
69192,211,245
69213,211,246
69272,211,249
69357,211,254
69374,211,255
69391,211,256
69609,211,268
69664,211,271
69844,211,281
69916,211,285
69945,211,286
70028,211,291
70111,211,296
70159,211,298
70164,211,299
70183,211,300
