,pair,trial
10829,118,2
10927,118,8
10980,118,11
11071,118,16
11088,118,17
11128,118,19
11236,118,25
11261,118,26
11278,118,27
11323,118,30
11340,118,31
11365,118,32
11382,118,33
11437,118,36
11462,118,37
11490,118,39
11592,118,45
11628,118,47
11723,118,52
11848,118,59
11867,118,60
11922,118,63
11975,118,66
12180,118,77
12208,118,79
12223,118,80
12299,118,84
12403,118,90
12439,118,92
12536,118,97
12600,118,101
12708,118,107
12839,118,114
12883,118,116
12943,118,120
12979,118,122
12996,118,123
13093,118,128
13129,118,130
13144,118,131
13163,118,132
13182,118,133
13212,118,135
13284,118,139
13315,118,140
13385,118,144
13421,118,146
13455,118,148
13493,118,150
13500,118,151
13586,118,155
13728,118,163
13832,118,169
13864,118,171
13906,118,173
13944,118,175
13976,118,177
13989,118,178
14126,118,185
14215,118,190
14228,118,191
14270,118,193
14304,118,195
14315,118,196
14400,118,201
14436,118,203
14469,118,204
14476,118,205
14548,118,209
14601,118,212
14715,118,218
14781,118,222
14844,118,225
14895,118,228
14910,118,229
14940,118,231
15139,118,242
15183,118,244
15211,118,246
15314,118,251
15342,118,253
15355,118,254
15475,118,260
15492,118,261
15524,118,263
15535,118,264
15660,118,271
15884,118,283
15952,118,287
15971,118,288
15998,118,289
16094,118,295
16157,118,298
16183,118,300
