,pair,trial
21,208,2
50,208,3
86,208,5
101,208,6
133,208,8
156,208,9
393,208,22
459,208,26
635,208,36
961,208,54
1014,208,57
1194,208,67
1217,208,68
1230,208,69
1249,208,70
1321,208,74
1423,208,80
1446,208,81
2043,208,114
2202,208,123
2384,208,133
2418,208,135
2528,208,141
2564,208,143
2954,208,165
3038,208,169
3060,208,171
3123,208,174
3159,208,176
3204,208,179
3316,208,185
3424,208,191
3540,208,197
3629,208,202
3877,208,216
3966,208,221
4167,208,232
4216,208,235
4254,208,237
4324,208,241
4362,208,243
4396,208,245
4500,208,251
4637,208,258
4722,208,263
4775,208,266
4976,208,277
5031,208,280
5173,208,288
5275,208,294
5292,208,295
5321,208,296
5338,208,297
5359,208,298
5364,208,299
5397,208,300
