pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
202,blind,1,1,1,1,3.2165448665618896,0.025,1
202,blind,1,1,1,2,4.111618995666504,0.025,1
202,blind,1,1,1,3,4.914513826370239,0.025,1
202,blind,1,1,1,4,5.706357002258301,0.025,1
202,blind,1,1,1,5,6.530491828918457,0.025,1
202,blind,1,1,1,6,7.2563698291778564,0.025,1
202,blind,1,1,1,7,8.006569862365723,0.025,1
202,blind,1,1,1,8,8.76053500175476,0.025,1
202,blind,1,1,1,9,9.57881498336792,0.025,1
202,blind,1,1,2,1,3.4628348350524902,0.025,1
202,blind,1,1,2,2,4.156674861907959,0.025,1
202,blind,1,1,2,3,4.9496378898620605,0.025,1
202,blind,1,1,2,4,5.716437816619873,0.025,1
202,blind,1,1,2,5,6.5116658210754395,0.025,1
202,blind,1,1,2,6,7.290894031524658,0.025,1
202,blind,1,1,2,7,8.051764011383057,0.025,1
202,blind,1,1,2,8,8.795679807662964,0.025,1
202,blind,1,1,2,9,9.641963005065918,0.025,1
202,blind,1,2,1,1,3.3154749870300293,0.025,1
202,blind,1,2,1,2,4.089431047439575,0.025,1
202,blind,1,2,1,3,4.863346099853516,0.025,1
202,blind,1,2,1,4,5.731296062469482,0.025,1
202,blind,1,2,1,5,6.5723021030426025,0.025,1
202,blind,1,2,1,6,7.294149160385132,0.025,1
202,blind,1,2,1,7,8.13665509223938,0.025,1
202,blind,1,2,1,8,8.950154066085815,0.025,1
202,blind,1,2,1,9,9.781590938568115,0.025,1
202,blind,1,2,2,1,3.258547067642212,0.025,1
202,blind,1,2,2,2,4.073516130447388,0.025,1
202,blind,1,2,2,3,4.85045599937439,0.025,1
202,blind,1,2,2,4,5.674519062042236,0.025,1
202,blind,1,2,2,5,6.429468154907227,0.025,1
202,blind,1,2,2,6,7.347523927688599,0.025,1
202,blind,1,2,2,7,8.115293979644775,0.025,1
202,blind,1,2,2,8,8.960312128067017,0.025,1
202,blind,1,2,2,9,9.8126060962677,0.025,1
202,blind,1,3,1,1,4.235034942626953,0.05,2
202,blind,1,3,1,2,5.147099018096924,0.05,2
202,blind,1,3,1,3,5.9220359325408936,0.05,2
202,blind,1,3,1,4,6.839025020599365,0.05,2
202,blind,1,3,1,5,7.677811861038208,0.05,2
202,blind,1,3,1,6,8.507004022598267,0.05,2
202,blind,1,3,1,7,9.384063959121704,0.05,2
202,blind,1,3,1,8,10.274268865585327,0.05,2
202,blind,1,3,1,9,11.115653991699219,0.05,2
202,blind,1,3,2,1,4.513007879257202,0.05,2
202,blind,1,3,2,2,5.196202993392944,0.05,2
202,blind,1,3,2,3,6.013176918029785,0.05,2
202,blind,1,3,2,4,6.799785852432251,0.05,2
202,blind,1,3,2,5,7.637955904006958,0.05,2
202,blind,1,3,2,6,8.458158016204834,0.05,2
202,blind,1,3,2,7,9.341209888458252,0.05,2
202,blind,1,3,2,8,10.264171838760376,0.05,2
202,blind,1,3,2,9,11.136149883270264,0.05,2
202,blind,1,4,1,1,3.5617921352386475,0.075,2
202,blind,1,4,1,2,4.308507204055786,0.075,2
202,blind,1,4,1,3,5.185739040374756,0.075,2
202,blind,1,4,1,4,6.072862148284912,0.075,2
202,blind,1,4,1,5,6.952797174453735,0.075,2
202,blind,1,4,1,6,7.797579050064087,0.075,2
202,blind,1,4,1,7,8.714737176895142,0.075,2
202,blind,1,4,1,8,9.543636083602905,0.075,2
202,blind,1,4,1,9,10.367662191390991,0.075,2
202,blind,1,4,2,1,3.321873188018799,0.075,2
202,blind,1,4,2,2,4.32178521156311,0.075,2
202,blind,1,4,2,3,5.111955165863037,0.075,2
202,blind,1,4,2,4,6.010805130004883,0.075,2
202,blind,1,4,2,5,6.820010185241699,0.075,2
202,blind,1,4,2,6,7.835820198059082,0.075,2
202,blind,1,4,2,7,8.644086122512817,0.075,2
202,blind,1,4,2,8,9.465803146362305,0.075,2
202,blind,1,4,2,9,10.342823028564453,0.075,2
202,blind,1,5,1,1,3.9051849842071533,0.05,2
202,blind,1,5,1,2,4.71812891960144,0.05,2
202,blind,1,5,1,3,5.643074989318848,0.05,2
202,blind,1,5,1,4,6.499024868011475,0.05,2
202,blind,1,5,1,5,7.325121879577637,0.05,2
202,blind,1,5,1,6,8.274041891098022,0.05,2
202,blind,1,5,1,7,9.133249044418335,0.05,2
202,blind,1,5,1,8,10.007070064544678,0.05,2
202,blind,1,5,1,9,10.810908079147339,0.05,2
202,blind,1,5,2,1,3.655595064163208,0.05,2
202,blind,1,5,2,2,4.7070019245147705,0.05,2
202,blind,1,5,2,3,5.527205944061279,0.05,2
202,blind,1,5,2,4,6.413255929946899,0.05,2
202,blind,1,5,2,5,7.277169942855835,0.05,2
202,blind,1,5,2,6,8.13220500946045,0.05,2
202,blind,1,5,2,7,9.061241865158081,0.05,2
202,blind,1,5,2,8,9.987268924713135,0.05,2
202,blind,1,5,2,9,10.911262035369873,0.05,2
202,blind,1,6,1,1,3.464568853378296,0.1,1
202,blind,1,6,1,2,4.219414949417114,0.1,1
202,blind,1,6,1,3,5.249395847320557,0.1,1
202,blind,1,6,1,4,6.00215482711792,0.1,1
202,blind,1,6,1,5,6.881364822387695,0.1,1
202,blind,1,6,1,6,7.705309867858887,0.1,1
202,blind,1,6,1,7,8.534343004226685,0.1,1
202,blind,1,6,1,8,9.401556015014648,0.1,1
202,blind,1,6,1,9,10.193188905715942,0.1,1
202,blind,1,6,2,1,3.199514865875244,0.1,1
202,blind,1,6,2,2,4.1185219287872314,0.1,1
202,blind,1,6,2,3,5.034595012664795,0.1,1
202,blind,1,6,2,4,6.136415958404541,0.1,1
202,blind,1,6,2,5,6.861320972442627,0.1,1
202,blind,1,6,2,6,7.65129280090332,0.1,1
202,blind,1,6,2,7,8.487470865249634,0.1,1
202,blind,1,6,2,8,9.269580841064453,0.1,1
202,blind,1,6,2,9,10.229707956314087,0.1,1
202,blind,1,7,1,1,3.215097188949585,0.05,2
202,blind,1,7,1,2,4.179079055786133,0.05,2
202,blind,1,7,1,3,4.987332105636597,0.05,2
202,blind,1,7,1,4,5.81418514251709,0.05,2
202,blind,1,7,1,5,6.622174024581909,0.05,2
202,blind,1,7,1,6,7.465245008468628,0.05,2
202,blind,1,7,1,7,8.231887102127075,0.05,2
202,blind,1,7,1,8,9.059070110321045,0.05,2
202,blind,1,7,1,9,9.828881025314331,0.05,2
202,blind,1,7,2,1,3.39925217628479,0.05,2
202,blind,1,7,2,2,4.0920281410217285,0.05,2
202,blind,1,7,2,3,4.913259029388428,0.05,2
202,blind,1,7,2,4,5.796492099761963,0.05,2
202,blind,1,7,2,5,6.5813469886779785,0.05,2
202,blind,1,7,2,6,7.3991429805755615,0.05,2
202,blind,1,7,2,7,8.252361059188843,0.05,2
202,blind,1,7,2,8,9.040991067886353,0.05,2
202,blind,1,7,2,9,9.944360971450806,0.05,2
202,blind,1,8,1,1,3.552290916442871,0.075,1
202,blind,1,8,1,2,4.297165870666504,0.075,1
202,blind,1,8,1,3,5.078155994415283,0.075,1
202,blind,1,8,1,4,5.90722393989563,0.075,1
202,blind,1,8,1,5,6.674143075942993,0.075,1
202,blind,1,8,1,6,7.441866874694824,0.075,1
202,blind,1,8,1,7,8.265162944793701,0.075,1
202,blind,1,8,1,8,9.111335039138794,0.075,1
202,blind,1,8,1,9,9.845525979995728,0.075,1
202,blind,1,8,2,1,3.31917405128479,0.075,1
202,blind,1,8,2,2,4.205358028411865,0.075,1
202,blind,1,8,2,3,5.012343883514404,0.075,1
202,blind,1,8,2,4,5.7713658809661865,0.075,1
