pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
213,blind,1,1,1,1,3.4784281253814697,0.05,2
213,blind,1,1,1,2,4.246138095855713,0.05,2
213,blind,1,1,1,3,4.830126047134399,0.05,2
213,blind,1,1,1,4,5.4310691356658936,0.05,2
213,blind,1,1,1,5,6.011244058609009,0.05,2
213,blind,1,1,1,6,6.674059152603149,0.05,2
213,blind,1,1,1,7,7.494164943695068,0.05,2
213,blind,1,1,1,8,8.06809401512146,0.05,2
213,blind,1,1,1,9,8.712098121643066,0.05,2
213,blind,1,1,2,1,3.961318016052246,0.05,2
213,blind,1,1,2,2,4.621389150619507,0.05,2
213,blind,1,1,2,3,5.187229156494141,0.05,2
213,blind,1,1,2,4,5.764330148696899,0.05,2
213,blind,1,1,2,5,6.318022012710571,0.05,2
213,blind,1,1,2,6,6.871025085449219,0.05,2
213,blind,1,1,2,7,7.460016965866089,0.05,2
213,blind,1,1,2,8,8.08621096611023,0.05,2
213,blind,1,1,2,9,9.548190116882324,0.05,2
213,blind,1,2,1,1,3.364258050918579,0.1,1
213,blind,1,2,1,2,3.970072031021118,0.1,1
213,blind,1,2,1,3,4.642030954360962,0.1,1
213,blind,1,2,1,4,5.248050928115845,0.1,1
213,blind,1,2,1,5,5.879019021987915,0.1,1
213,blind,1,2,1,6,6.492063999176025,0.1,1
213,blind,1,2,1,7,7.04810905456543,0.1,1
213,blind,1,2,1,8,7.675108909606934,0.1,1
213,blind,1,2,1,9,8.261013984680176,0.1,1
213,blind,1,2,2,1,3.4411709308624268,0.1,1
213,blind,1,2,2,2,4.041126012802124,0.1,1
213,blind,1,2,2,3,4.614966869354248,0.1,1
213,blind,1,2,2,4,5.226984977722168,0.1,1
213,blind,1,2,2,5,5.822946071624756,0.1,1
213,blind,1,2,2,6,6.449954032897949,0.1,1
213,blind,1,2,2,7,7.077154874801636,0.1,1
213,blind,1,2,2,8,7.685313940048218,0.1,1
213,blind,1,2,2,9,8.27414584159851,0.1,1
213,blind,1,3,1,1,4.263143062591553,0.025,1
213,blind,1,3,1,2,4.6985578536987305,0.025,1
213,blind,1,3,1,3,5.385952949523926,0.025,1
213,blind,1,3,1,4,5.930991888046265,0.025,1
213,blind,1,3,1,5,6.5617969036102295,0.025,1
213,blind,1,3,1,6,7.163841962814331,0.025,1
213,blind,1,3,1,7,8.394577026367188,0.025,1
213,blind,1,3,1,8,8.91357684135437,0.025,1
213,blind,1,3,1,9,9.496779918670654,0.025,1
213,blind,1,3,2,1,3.9887020587921143,0.025,1
213,blind,1,3,2,2,4.792118072509766,0.025,1
213,blind,1,3,2,3,5.360694885253906,0.025,1
213,blind,1,3,2,4,5.9821388721466064,0.025,1
213,blind,1,3,2,5,6.574086904525757,0.025,1
213,blind,1,3,2,6,7.153723955154419,0.025,1
213,blind,1,3,2,7,8.987858057022095,0.025,1
213,blind,1,3,2,8,9.609935998916626,0.025,1
213,blind,1,3,2,9,11.077888011932373,0.025,1
213,blind,1,4,1,1,3.8396618366241455,0.05,2
213,blind,1,4,1,2,4.259609937667847,0.05,2
213,blind,1,4,1,3,4.950642824172974,0.05,2
213,blind,1,4,1,4,5.498589992523193,0.05,2
213,blind,1,4,1,5,6.113585948944092,0.05,2
213,blind,1,4,1,6,6.724617004394531,0.05,2
213,blind,1,4,1,7,7.282635927200317,0.05,2
213,blind,1,4,1,8,7.888587951660156,0.05,2
213,blind,1,4,1,9,8.475513935089111,0.05,2
