pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
118,blind,1,1,1,1,3.4361610412597656,0.1,1
118,blind,1,1,1,2,4.015890121459961,0.1,1
118,blind,1,1,1,3,4.557887077331543,0.1,1
118,blind,1,1,1,4,5.0361950397491455,0.1,1
118,blind,1,1,1,5,5.580892086029053,0.1,1
118,blind,1,1,1,6,6.095117092132568,0.1,1
118,blind,1,1,1,7,6.590129137039185,0.1,1
118,blind,1,1,1,8,7.0832390785217285,0.1,1
118,blind,1,1,1,9,7.630259990692139,0.1,1
118,blind,1,1,2,1,3.782055139541626,0.1,1
118,blind,1,1,2,2,4.371772050857544,0.1,1
118,blind,1,1,2,3,4.961065053939819,0.1,1
118,blind,1,1,2,4,5.3857622146606445,0.1,1
118,blind,1,1,2,5,5.915011167526245,0.1,1
118,blind,1,1,2,6,6.411005020141602,0.1,1
118,blind,1,1,2,7,6.999201059341431,0.1,1
118,blind,1,1,2,8,7.466152191162109,0.1,1
118,blind,1,1,2,9,7.981139183044434,0.1,1
118,blind,1,2,1,1,4.107988119125366,0.025,2
118,blind,1,2,1,2,4.600592136383057,0.025,2
118,blind,1,2,1,3,5.101611137390137,0.025,2
118,blind,1,2,1,4,5.558572053909302,0.025,2
118,blind,1,2,1,5,6.011598110198975,0.025,2
118,blind,1,2,1,6,7.0245771408081055,0.025,2
118,blind,1,2,1,7,7.622919082641602,0.025,2
118,blind,1,2,1,8,8.245974063873291,0.025,2
118,blind,1,2,1,9,10.555076122283936,0.025,2
118,blind,1,2,2,1,3.650668144226074,0.025,2
118,blind,1,2,2,2,4.18072509765625,0.025,2
118,blind,1,2,2,3,4.634955167770386,0.025,2
118,blind,1,2,2,4,5.1448822021484375,0.025,2
118,blind,1,2,2,5,5.622809171676636,0.025,2
118,blind,1,2,2,6,6.094908237457275,0.025,2
118,blind,1,2,2,7,6.4994330406188965,0.025,2
118,blind,1,2,2,8,7.315914154052734,0.025,2
118,blind,1,2,2,9,7.931896209716797,0.025,2
118,blind,1,3,1,1,3.5067520141601562,0.075,2
118,blind,1,3,1,2,4.076836109161377,0.075,2
118,blind,1,3,1,3,4.577837944030762,0.075,2
118,blind,1,3,1,4,5.053788900375366,0.075,2
118,blind,1,3,1,5,5.568819046020508,0.075,2
118,blind,1,3,1,6,6.042884111404419,0.075,2
118,blind,1,3,1,7,6.530777931213379,0.075,2
118,blind,1,3,1,8,7.032804012298584,0.075,2
118,blind,1,3,1,9,7.592827081680298,0.075,2
118,blind,1,3,2,1,3.2438669204711914,0.075,2
118,blind,1,3,2,2,3.946882963180542,0.075,2
118,blind,1,3,2,3,4.4936840534210205,0.075,2
118,blind,1,3,2,4,4.982753038406372,0.075,2
118,blind,1,3,2,5,5.44767689704895,0.075,2
118,blind,1,3,2,6,5.931736946105957,0.075,2
118,blind,1,3,2,7,6.429771900177002,0.075,2
118,blind,1,3,2,8,6.930838108062744,0.075,2
118,blind,1,3,2,9,7.4266369342803955,0.075,2
118,blind,1,4,1,1,3.5552408695220947,0.1,2
118,blind,1,4,1,2,4.179243087768555,0.1,2
118,blind,1,4,1,3,4.690190076828003,0.1,2
118,blind,1,4,1,4,5.2902069091796875,0.1,2
118,blind,1,4,1,5,5.863185882568359,0.1,2
118,blind,1,4,1,6,6.4471518993377686,0.1,2
118,blind,1,4,1,7,6.995213985443115,0.1,2
118,blind,1,4,1,8,7.573235034942627,0.1,2
118,blind,1,4,1,9,8.133270978927612,0.1,2
118,blind,1,4,2,1,3.302535057067871,0.1,2
118,blind,1,4,2,2,3.9880990982055664,0.1,2
118,blind,1,4,2,3,4.482095956802368,0.1,2
118,blind,1,4,2,4,5.02204704284668,0.1,2
118,blind,1,4,2,5,5.635097026824951,0.1,2
118,blind,1,4,2,6,6.231036901473999,0.1,2
118,blind,1,4,2,7,6.787079095840454,0.1,2
118,blind,1,4,2,8,7.398161888122559,0.1,2
118,blind,1,4,2,9,7.905189037322998,0.1,2
118,blind,1,5,1,1,3.8860349655151367,0.1,2
118,blind,1,5,1,2,4.505190134048462,0.1,2
118,blind,1,5,1,3,5.137197017669678,0.1,2
118,blind,1,5,1,4,5.640172004699707,0.1,2
118,blind,1,5,1,5,6.302086114883423,0.1,2
118,blind,1,5,1,6,6.872765064239502,0.1,2
118,blind,1,5,1,7,7.450243949890137,0.1,2
118,blind,1,5,1,8,8.059234142303467,0.1,2
118,blind,1,5,1,9,9.949260950088501,0.1,2
118,blind,1,5,2,1,3.4129221439361572,0.1,2
118,blind,1,5,2,2,4.18705415725708,0.1,2
118,blind,1,5,2,3,5.000218152999878,0.1,2
118,blind,1,5,2,4,5.579113960266113,0.1,2
118,blind,1,5,2,5,6.063043117523193,0.1,2
118,blind,1,5,2,6,6.611637115478516,0.1,2
118,blind,1,5,2,7,7.194059133529663,0.1,2
118,blind,1,5,2,8,7.8151021003723145,0.1,2
118,blind,1,5,2,9,8.43308401107788,0.1,2
118,blind,1,6,1,1,4.16270112991333,0.075,2
118,blind,1,6,1,2,4.874711990356445,0.075,2
118,blind,1,6,1,3,5.424663066864014,0.075,2
118,blind,1,6,1,4,5.92976713180542,0.075,2
118,blind,1,6,1,5,6.426874160766602,0.075,2
118,blind,1,6,1,6,6.93440318107605,0.075,2
118,blind,1,6,1,7,7.435381174087524,0.075,2
118,blind,1,6,1,8,8.004651069641113,0.075,2
118,blind,1,6,1,9,8.780768156051636,0.075,2
118,blind,1,6,2,1,3.676619052886963,0.075,2
118,blind,1,6,2,2,4.680721998214722,0.075,2
118,blind,1,6,2,3,5.234666109085083,0.075,2
118,blind,1,6,2,4,5.7586400508880615,0.075,2
118,blind,1,6,2,5,6.297718048095703,0.075,2
118,blind,1,6,2,6,6.782243013381958,0.075,2
118,blind,1,6,2,7,7.219267129898071,0.075,2
118,blind,1,6,2,8,7.86165714263916,0.075,2
118,blind,1,6,2,9,8.594681024551392,0.075,2
118,blind,1,7,1,1,4.202568054199219,0.025,2
118,blind,1,7,1,2,4.91953706741333,0.025,2
118,blind,1,7,1,3,5.5305280685424805,0.025,2
118,blind,1,7,1,4,6.062445878982544,0.025,2
118,blind,1,7,1,5,6.604673862457275,0.025,2
118,blind,1,7,1,6,7.144643068313599,0.025,2
118,blind,1,7,1,7,7.714617013931274,0.025,2
118,blind,1,7,1,8,8.289684057235718,0.025,2
118,blind,1,7,1,9,8.870766878128052,0.025,2
118,blind,1,7,2,1,3.9465620517730713,0.025,2
118,blind,1,7,2,2,4.57240104675293,0.025,2
118,blind,1,7,2,3,5.1283509731292725,0.025,2
118,blind,1,7,2,4,5.701462984085083,0.025,2
118,blind,1,7,2,5,6.314334869384766,0.025,2
118,blind,1,7,2,6,6.848512887954712,0.025,2
118,blind,1,7,2,7,7.360567092895508,0.025,2
118,blind,1,7,2,8,7.928581953048706,0.025,2
118,blind,1,7,2,9,8.408467054367065,0.025,2
118,blind,1,8,1,1,5.266412973403931,0.1,1
118,blind,1,8,1,2,5.878515005111694,0.1,1
118,blind,1,8,1,3,6.43848991394043,0.1,1
118,blind,1,8,1,4,6.961463928222656,0.1,1
118,blind,1,8,1,5,7.5295209884643555,0.1,1
118,blind,1,8,1,6,8.093466997146606,0.1,1
118,blind,1,8,1,7,8.671599864959717,0.1,1
118,blind,1,8,1,8,9.238559007644653,0.1,1
118,blind,1,8,1,9,9.84760594367981,0.1,1
118,blind,1,8,2,1,4.37654185295105,0.1,1
118,blind,1,8,2,2,5.146023988723755,0.1,1
118,blind,1,8,2,3,5.751467943191528,0.1,1
118,blind,1,8,2,4,6.3003339767456055,0.1,1
118,blind,1,8,2,5,6.87832498550415,0.1,1
118,blind,1,8,2,6,7.40738582611084,0.1,1
118,blind,1,8,2,7,7.9184958934783936,0.1,1
118,blind,1,8,2,8,8.45441484451294,0.1,1
118,blind,1,8,2,9,9.032521963119507,0.1,1
118,blind,1,9,1,1,3.714118003845215,0.05,2
118,blind,1,9,1,2,4.322010040283203,0.05,2
118,blind,1,9,1,3,4.854771137237549,0.05,2
118,blind,1,9,1,4,5.436742067337036,0.05,2
118,blind,1,9,1,5,5.9751551151275635,0.05,2
118,blind,1,9,1,6,6.527752161026001,0.05,2
118,blind,1,9,1,7,7.06876015663147,0.05,2
118,blind,1,9,1,8,7.7051990032196045,0.05,2
118,blind,1,9,1,9,10.716363191604614,0.05,2
118,blind,1,9,2,1,3.1719350814819336,0.05,2
118,blind,1,9,2,2,4.033965110778809,0.05,2
118,blind,1,9,2,3,4.536862134933472,0.05,2
118,blind,1,9,2,4,5.1386401653289795,0.05,2
118,blind,1,9,2,5,5.722978115081787,0.05,2
118,blind,1,9,2,6,6.2046120166778564,0.05,2
118,blind,1,9,2,7,6.760629177093506,0.05,2
118,blind,1,9,2,8,7.249608039855957,0.05,2
118,blind,1,9,2,9,8.71816897392273,0.05,2
118,blind,1,10,1,1,4.659286975860596,0.025,1
118,blind,1,10,1,2,5.355020999908447,0.025,1
118,blind,1,10,1,3,5.880241870880127,0.025,1
118,blind,1,10,1,4,6.407732009887695,0.025,1
118,blind,1,10,1,5,6.986235857009888,0.025,1
118,blind,1,10,1,6,7.4992289543151855,0.025,1
118,blind,1,10,1,7,8.14122986793518,0.025,1
118,blind,1,10,1,8,8.658208847045898,0.025,1
118,blind,1,10,1,9,9.46615195274353,0.025,1
118,blind,1,10,2,1,3.5483460426330566,0.025,1
118,blind,1,10,2,2,4.901087045669556,0.025,1
118,blind,1,10,2,3,5.493828058242798,0.025,1
118,blind,1,10,2,4,6.0920569896698,0.025,1
118,blind,1,10,2,5,6.596605062484741,0.025,1
118,blind,1,10,2,6,7.064112901687622,0.025,1
