pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
208,blind,1,1,1,1,4.16961407661438,0.1,1
208,blind,1,1,1,2,4.9776060581207275,0.1,1
208,blind,1,1,1,3,5.703533172607422,0.1,1
208,blind,1,1,1,4,6.410557985305786,0.1,1
208,blind,1,1,1,5,6.998547077178955,0.1,1
208,blind,1,1,1,6,7.605656147003174,0.1,1
208,blind,1,1,1,7,8.256762027740479,0.1,1
208,blind,1,1,1,8,8.896775960922241,0.1,1
208,blind,1,1,1,9,9.600551128387451,0.1,1
208,blind,1,1,2,1,3.7906551361083984,0.1,1
208,blind,1,1,2,2,4.483687162399292,0.1,1
208,blind,1,1,2,3,5.305561065673828,0.1,1
208,blind,1,1,2,4,6.106523036956787,0.1,1
208,blind,1,1,2,5,6.919571161270142,0.1,1
208,blind,1,1,2,6,7.633807182312012,0.1,1
208,blind,1,1,2,7,8.29574704170227,0.1,1
208,blind,1,1,2,8,8.995702981948853,0.1,1
208,blind,1,1,2,9,9.616648197174072,0.1,1
208,blind,1,2,1,1,3.4840569496154785,0.025,2
208,blind,1,2,1,2,5.311954021453857,0.025,2
208,blind,1,2,1,3,6.2698400020599365,0.025,2
208,blind,1,2,1,4,7.568814992904663,0.025,2
208,blind,1,2,1,5,8.370882987976074,0.025,2
208,blind,1,2,1,6,9.102831840515137,0.025,2
208,blind,1,2,1,7,9.775876998901367,0.025,2
208,blind,1,2,1,8,10.480453968048096,0.025,2
208,blind,1,2,1,9,11.172836065292358,0.025,2
208,blind,1,2,2,1,4.419008016586304,0.025,2
208,blind,1,2,2,2,6.081784963607788,0.025,2
208,blind,1,2,2,3,6.737817049026489,0.025,2
208,blind,1,2,2,4,7.476423025131226,0.025,2
208,blind,1,2,2,5,8.121847867965698,0.025,2
208,blind,1,2,2,6,8.857867002487183,0.025,2
208,blind,1,2,2,7,9.543875932693481,0.025,2
208,blind,1,2,2,8,11.130903959274292,0.025,2
208,blind,1,2,2,9,14.463999032974243,0.025,2
208,blind,1,3,1,1,3.9204208850860596,0.1,2
208,blind,1,3,1,2,5.2900848388671875,0.1,2
208,blind,1,3,1,3,6.255007028579712,0.1,2
208,blind,1,3,1,4,7.02701997756958,0.1,2
208,blind,1,3,1,5,7.713037014007568,0.1,2
208,blind,1,3,1,6,8.345011949539185,0.1,2
208,blind,1,3,1,7,9.05899691581726,0.1,2
208,blind,1,3,1,8,9.591949939727783,0.1,2
208,blind,1,3,1,9,10.230037927627563,0.1,2
208,blind,1,3,2,1,4.298293828964233,0.1,2
208,blind,1,3,2,2,5.972054958343506,0.1,2
208,blind,1,3,2,3,6.716035842895508,0.1,2
208,blind,1,3,2,4,7.360000848770142,0.1,2
208,blind,1,3,2,5,8.032994985580444,0.1,2
208,blind,1,3,2,6,8.798971891403198,0.1,2
208,blind,1,3,2,7,9.563958883285522,0.1,2
208,blind,1,3,2,8,10.264006853103638,0.1,2
208,blind,1,3,2,9,12.71203088760376,0.1,2
208,blind,1,4,1,1,4.25623083114624,0.05,2
208,blind,1,4,1,2,5.058888912200928,0.05,2
208,blind,1,4,1,3,5.709980010986328,0.05,2
208,blind,1,4,1,4,6.364945888519287,0.05,2
208,blind,1,4,1,5,7.054685831069946,0.05,2
208,blind,1,4,1,6,7.721668004989624,0.05,2
208,blind,1,4,1,7,8.501844882965088,0.05,2
208,blind,1,4,1,8,9.350831985473633,0.05,2
208,blind,1,4,1,9,10.313004970550537,0.05,2
208,blind,1,4,2,1,4.410938024520874,0.05,2
208,blind,1,4,2,2,5.108844041824341,0.05,2
208,blind,1,4,2,3,5.7238609790802,0.05,2
208,blind,1,4,2,4,6.403015851974487,0.05,2
208,blind,1,4,2,5,7.071828842163086,0.05,2
208,blind,1,4,2,6,7.76279091835022,0.05,2
208,blind,1,4,2,7,8.429821968078613,0.05,2
208,blind,1,4,2,8,9.135836839675903,0.05,2
208,blind,1,4,2,9,9.974872827529907,0.05,2
208,blind,1,5,1,1,4.244848966598511,0.025,2
208,blind,1,5,1,2,5.84461784362793,0.025,2
208,blind,1,5,1,3,6.749852895736694,0.025,2
208,blind,1,5,1,4,7.516831874847412,0.025,2
208,blind,1,5,1,5,8.146782875061035,0.025,2
208,blind,1,5,1,6,8.722791910171509,0.025,2
208,blind,1,5,1,7,9.318933010101318,0.025,2
208,blind,1,5,1,8,9.948994874954224,0.025,2
208,blind,1,5,1,9,10.588608026504517,0.025,2
208,blind,1,5,2,1,3.6593170166015625,0.025,2
208,blind,1,5,2,2,6.311854839324951,0.025,2
208,blind,1,5,2,3,7.11983585357666,0.025,2
208,blind,1,5,2,4,7.832828044891357,0.025,2
208,blind,1,5,2,5,8.4858078956604,0.025,2
208,blind,1,5,2,6,9.118790864944458,0.025,2
208,blind,1,5,2,7,9.853026866912842,0.025,2
208,blind,1,5,2,8,10.636927843093872,0.025,2
208,blind,1,5,2,9,11.273591041564941,0.025,2
208,blind,1,6,1,1,4.1587629318237305,0.025,1
208,blind,1,6,1,2,5.108500957489014,0.025,1
208,blind,1,6,1,3,6.01770806312561,0.025,1
208,blind,1,6,1,4,6.565506935119629,0.025,1
208,blind,1,6,1,5,7.231637954711914,0.025,1
208,blind,1,6,1,6,7.960750102996826,0.025,1
208,blind,1,6,1,7,8.639498949050903,0.025,1
208,blind,1,6,1,8,9.303662061691284,0.025,1
208,blind,1,6,1,9,10.036668062210083,0.025,1
208,blind,1,6,2,1,3.8416860103607178,0.025,1
208,blind,1,6,2,2,5.228662967681885,0.025,1
208,blind,1,6,2,3,5.848560094833374,0.025,1
208,blind,1,6,2,4,6.97567892074585,0.025,1
208,blind,1,6,2,5,7.8816978931427,0.025,1
208,blind,1,6,2,6,8.74866008758545,0.025,1
208,blind,1,6,2,7,9.459670066833496,0.025,1
208,blind,1,6,2,8,10.237664937973022,0.025,1
208,blind,1,6,2,9,10.944700002670288,0.025,1
208,blind,1,7,1,1,4.029023885726929,0.075,2
208,blind,1,7,1,2,4.989739894866943,0.075,2
208,blind,1,7,1,3,5.699718952178955,0.075,2
208,blind,1,7,1,4,6.311712026596069,0.075,2
208,blind,1,7,1,5,6.923547029495239,0.075,2
208,blind,1,7,1,6,7.528709888458252,0.075,2
208,blind,1,7,1,7,8.129710912704468,0.075,2
208,blind,1,7,1,8,8.738760948181152,0.075,2
208,blind,1,7,1,9,9.374731063842773,0.075,2
208,blind,1,7,2,1,4.2388129234313965,0.075,2
208,blind,1,7,2,2,4.857546091079712,0.075,2
208,blind,1,7,2,3,5.591759920120239,0.075,2
208,blind,1,7,2,4,6.2407450675964355,0.075,2
208,blind,1,7,2,5,6.933640003204346,0.075,2
208,blind,1,7,2,6,7.5598509311676025,0.075,2
208,blind,1,7,2,7,8.17770504951477,0.075,2
208,blind,1,7,2,8,8.764695882797241,0.075,2
208,blind,1,7,2,9,9.392724990844727,0.075,2
208,blind,1,8,1,1,3.1973979473114014,0.1,2
208,blind,1,8,1,2,3.9260950088500977,0.1,2
208,blind,1,8,1,3,4.532058000564575,0.1,2
208,blind,1,8,1,4,5.105894088745117,0.1,2
208,blind,1,8,1,5,5.681073904037476,0.1,2
208,blind,1,8,1,6,6.273189067840576,0.1,2
208,blind,1,8,1,7,6.914057016372681,0.1,2
208,blind,1,8,1,8,7.524075984954834,0.1,2
208,blind,1,8,1,9,8.186085939407349,0.1,2
208,blind,1,8,2,1,3.6730880737304688,0.1,2
208,blind,1,8,2,2,4.4041290283203125,0.1,2
208,blind,1,8,2,3,5.130002021789551,0.1,2
208,blind,1,8,2,4,5.780231952667236,0.1,2
208,blind,1,8,2,5,6.358212947845459,0.1,2
208,blind,1,8,2,6,6.969974994659424,0.1,2
208,blind,1,8,2,7,7.5860841274261475,0.1,2
208,blind,1,8,2,8,8.196253061294556,0.1,2
208,blind,1,8,2,9,8.835047006607056,0.1,2
208,blind,1,9,1,1,4.245872974395752,0.075,2
208,blind,1,9,1,2,4.79983377456665,0.075,2
208,blind,1,9,1,3,5.3906028270721436,0.075,2
208,blind,1,9,1,4,6.047828912734985,0.075,2
208,blind,1,9,1,5,6.7028539180755615,0.075,2
208,blind,1,9,1,6,7.293804883956909,0.075,2
208,blind,1,9,1,7,7.896062850952148,0.075,2
208,blind,1,9,1,8,8.490616798400879,0.075,2
208,blind,1,9,1,9,9.111915826797485,0.075,2
208,blind,1,9,2,1,4.0030529499053955,0.075,2
208,blind,1,9,2,2,4.717889785766602,0.075,2
208,blind,1,9,2,3,5.7758049964904785,0.075,2
208,blind,1,9,2,4,6.588812828063965,0.075,2
208,blind,1,9,2,5,7.195790767669678,0.075,2
208,blind,1,9,2,6,7.785834789276123,0.075,2
