pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
214,blind,1,1,1,1,3.710585117340088,0.075,2
214,blind,1,1,1,2,4.136574029922485,0.075,2
214,blind,1,1,1,3,4.495403051376343,0.075,2
214,blind,1,1,1,4,4.836390972137451,0.075,2
214,blind,1,1,1,5,5.218374967575073,0.075,2
214,blind,1,1,1,6,5.595371961593628,0.075,2
214,blind,1,1,1,7,5.980365991592407,0.075,2
214,blind,1,1,1,8,6.337599039077759,0.075,2
214,blind,1,1,1,9,6.695760011672974,0.075,2
214,blind,1,1,2,1,3.693725109100342,0.075,2
214,blind,1,1,2,2,4.087643146514893,0.075,2
214,blind,1,1,2,3,4.505506992340088,0.075,2
214,blind,1,1,2,4,4.862585067749023,0.075,2
214,blind,1,1,2,5,5.228492021560669,0.075,2
214,blind,1,1,2,6,5.62255597114563,0.075,2
214,blind,1,1,2,7,5.990466117858887,0.075,2
214,blind,1,1,2,8,6.317685127258301,0.075,2
214,blind,1,1,2,9,6.66658616065979,0.075,2
214,blind,1,2,1,1,3.6373817920684814,0.025,2
214,blind,1,2,1,2,4.029481887817383,0.025,2
214,blind,1,2,1,3,4.377128839492798,0.025,2
214,blind,1,2,1,4,4.739580869674683,0.025,2
214,blind,1,2,1,5,5.103385925292969,0.025,2
214,blind,1,2,1,6,5.9031407833099365,0.025,2
214,blind,1,2,1,7,6.30511999130249,0.025,2
214,blind,1,2,1,8,6.686108827590942,0.025,2
214,blind,1,2,1,9,7.060114860534668,0.025,2
214,blind,1,2,2,1,3.647495985031128,0.025,2
214,blind,1,2,2,2,3.994356870651245,0.025,2
214,blind,1,2,2,3,4.387452840805054,0.025,2
214,blind,1,2,2,4,4.7055418491363525,0.025,2
214,blind,1,2,2,5,5.072084903717041,0.025,2
214,blind,1,2,2,6,5.920285940170288,0.025,2
214,blind,1,2,2,7,6.3255369663238525,0.025,2
214,blind,1,2,2,8,6.70747184753418,0.025,2
214,blind,1,2,2,9,7.073255777359009,0.025,2
214,blind,1,3,1,1,3.796687126159668,0.05,1
214,blind,1,3,1,2,4.182724952697754,0.05,1
214,blind,1,3,1,3,4.53969407081604,0.05,1
214,blind,1,3,1,4,4.899718999862671,0.05,1
214,blind,1,3,1,5,5.261698961257935,0.05,1
214,blind,1,3,1,6,5.630682945251465,0.05,1
214,blind,1,3,1,7,6.0066680908203125,0.05,1
214,blind,1,3,1,8,6.379686117172241,0.05,1
214,blind,1,3,1,9,6.7346861362457275,0.05,1
214,blind,1,3,2,1,3.815948963165283,0.05,1
214,blind,1,3,2,2,4.192820072174072,0.05,1
214,blind,1,3,2,3,4.563086986541748,0.05,1
214,blind,1,3,2,4,4.915030002593994,0.05,1
214,blind,1,3,2,5,5.2851080894470215,0.05,1
214,blind,1,3,2,6,5.68911600112915,0.05,1
214,blind,1,3,2,7,6.075123071670532,0.05,1
214,blind,1,3,2,8,6.4040961265563965,0.05,1
214,blind,1,3,2,9,6.7580790519714355,0.05,1
214,blind,1,4,1,1,3.5892250537872314,0.05,1
214,blind,1,4,1,2,3.9624221324920654,0.05,1
214,blind,1,4,1,3,4.301091194152832,0.05,1
214,blind,1,4,1,4,4.659065008163452,0.05,1
214,blind,1,4,1,5,5.0280351638793945,0.05,1
214,blind,1,4,1,6,5.405084133148193,0.05,1
214,blind,1,4,1,7,5.760029077529907,0.05,1
214,blind,1,4,1,8,6.125094175338745,0.05,1
214,blind,1,4,1,9,6.476055145263672,0.05,1
214,blind,1,4,2,1,3.5733461380004883,0.05,1
214,blind,1,4,2,2,3.952299118041992,0.05,1
