pair,condition,block,trial,subject,tapnr,ttap,jitter,player_start_first
212,blind,1,1,1,1,3.1952409744262695,0.025,1
212,blind,1,1,1,2,4.068711996078491,0.025,1
212,blind,1,1,1,3,4.806664943695068,0.025,1
212,blind,1,1,1,4,5.618421792984009,0.025,1
212,blind,1,1,1,5,6.358595848083496,0.025,1
212,blind,1,1,1,6,7.155601978302002,0.025,1
212,blind,1,1,1,7,7.871646881103516,0.025,1
212,blind,1,1,1,8,8.643619775772095,0.025,1
212,blind,1,1,1,9,9.436733961105347,0.025,1
212,blind,1,1,2,1,4.00731086730957,0.025,1
212,blind,1,1,2,2,4.858637809753418,0.025,1
212,blind,1,1,2,3,5.608291864395142,0.025,1
212,blind,1,1,2,4,6.306273937225342,0.025,1
212,blind,1,1,2,5,7.079264879226685,0.025,1
212,blind,1,1,2,6,7.806311845779419,0.025,1
212,blind,1,1,2,7,8.537287950515747,0.025,1
212,blind,1,1,2,8,9.253292798995972,0.025,1
212,blind,1,1,2,9,9.93127179145813,0.025,1
212,blind,1,2,1,1,4.4611289501190186,0.075,1
212,blind,1,2,1,2,5.2109949588775635,0.075,1
212,blind,1,2,1,3,5.919919967651367,0.075,1
212,blind,1,2,1,4,6.55884313583374,0.075,1
212,blind,1,2,1,5,7.238054037094116,0.075,1
212,blind,1,2,1,6,7.886034965515137,0.075,1
212,blind,1,2,1,7,8.54605507850647,0.075,1
212,blind,1,2,1,8,9.221832036972046,0.075,1
212,blind,1,2,1,9,10.000059127807617,0.075,1
212,blind,1,2,2,1,3.5951480865478516,0.075,1
212,blind,1,2,2,2,4.382699012756348,0.075,1
212,blind,1,2,2,3,5.1236889362335205,0.075,1
212,blind,1,2,2,4,5.791770935058594,0.075,1
212,blind,1,2,2,5,6.548666000366211,0.075,1
212,blind,1,2,2,6,7.198698043823242,0.075,1
212,blind,1,2,2,7,7.853665113449097,0.075,1
212,blind,1,2,2,8,8.478666067123413,0.075,1
212,blind,1,2,2,9,9.131675004959106,0.075,1
212,blind,1,3,1,1,4.356434106826782,0.05,2
212,blind,1,3,1,2,5.08330512046814,0.05,2
212,blind,1,3,1,3,5.863260984420776,0.05,2
212,blind,1,3,1,4,6.598271131515503,0.05,2
212,blind,1,3,1,5,7.219254016876221,0.05,2
212,blind,1,3,1,6,7.895441055297852,0.05,2
212,blind,1,3,1,7,8.542495965957642,0.05,2
212,blind,1,3,1,8,9.176467180252075,0.05,2
212,blind,1,3,1,9,9.960342168807983,0.05,2
212,blind,1,3,2,1,3.1976051330566406,0.05,2
212,blind,1,3,2,2,4.742349147796631,0.05,2
212,blind,1,3,2,3,5.702116966247559,0.05,2
212,blind,1,3,2,4,6.423091173171997,0.05,2
212,blind,1,3,2,5,7.140097141265869,0.05,2
212,blind,1,3,2,6,7.833132982254028,0.05,2
212,blind,1,3,2,7,8.530102014541626,0.05,2
212,blind,1,3,2,8,9.246474027633667,0.05,2
212,blind,1,3,2,9,9.926077127456665,0.05,2
212,blind,1,4,1,1,3.4777419567108154,0.025,1
212,blind,1,4,1,2,4.321587085723877,0.025,1
212,blind,1,4,1,3,5.055557012557983,0.025,1
212,blind,1,4,1,4,5.868530988693237,0.025,1
212,blind,1,4,1,5,6.531532049179077,0.025,1
212,blind,1,4,1,6,7.064346075057983,0.025,1
212,blind,1,4,1,7,8.047528982162476,0.025,1
212,blind,1,4,1,8,8.744521141052246,0.025,1
212,blind,1,4,1,9,9.623825073242188,0.025,1
212,blind,1,4,2,1,3.7496299743652344,0.025,1
212,blind,1,4,2,2,4.633597135543823,0.025,1
212,blind,1,4,2,3,5.282577991485596,0.025,1
212,blind,1,4,2,4,6.287509918212891,0.025,1
212,blind,1,4,2,5,7.221558094024658,0.025,1
212,blind,1,4,2,6,8.07050895690918,0.025,1
212,blind,1,4,2,7,8.894550085067749,0.025,1
212,blind,1,4,2,8,9.927755117416382,0.025,1
212,blind,1,4,2,9,11.093780040740967,0.025,1
212,blind,1,5,1,1,4.240564823150635,0.05,2
212,blind,1,5,1,2,5.5625159740448,0.05,2
212,blind,1,5,1,3,6.300685882568359,0.05,2
212,blind,1,5,1,4,7.081483840942383,0.05,2
212,blind,1,5,1,5,7.79949688911438,0.05,2
212,blind,1,5,1,6,8.489723920822144,0.05,2
212,blind,1,5,1,7,9.205736875534058,0.05,2
212,blind,1,5,1,8,9.93248987197876,0.05,2
212,blind,1,5,1,9,10.656821012496948,0.05,2
212,blind,1,5,2,1,4.516591787338257,0.05,2
212,blind,1,5,2,2,5.2933549880981445,0.05,2
212,blind,1,5,2,3,6.290573835372925,0.05,2
212,blind,1,5,2,4,6.990335941314697,0.05,2
212,blind,1,5,2,5,7.710384845733643,0.05,2
212,blind,1,5,2,6,8.443321943283081,0.05,2
212,blind,1,5,2,7,9.114331007003784,0.05,2
212,blind,1,5,2,8,9.782517910003662,0.05,2
212,blind,1,5,2,9,10.410508871078491,0.05,2
212,blind,1,6,1,1,4.234020948410034,0.1,2
212,blind,1,6,1,2,4.89698600769043,0.1,2
212,blind,1,6,1,3,5.502571105957031,0.1,2
212,blind,1,6,1,4,6.150716066360474,0.1,2
212,blind,1,6,1,5,6.77282190322876,0.1,2
212,blind,1,6,1,6,7.4347429275512695,0.1,2
212,blind,1,6,1,7,8.059874057769775,0.1,2
212,blind,1,6,1,8,8.691833019256592,0.1,2
212,blind,1,6,1,9,9.366734981536865,0.1,2
212,blind,1,6,2,1,3.258251905441284,0.1,2
212,blind,1,6,2,2,4.684946060180664,0.1,2
212,blind,1,6,2,3,5.512721061706543,0.1,2
212,blind,1,6,2,4,6.1766650676727295,0.1,2
212,blind,1,6,2,5,6.822690963745117,0.1,2
212,blind,1,6,2,6,7.424570083618164,0.1,2
212,blind,1,6,2,7,8.036535024642944,0.1,2
212,blind,1,6,2,8,8.6785409450531,0.1,2
212,blind,1,6,2,9,9.356550931930542,0.1,2
212,blind,1,7,1,1,3.7706470489501953,0.025,1
212,blind,1,7,1,2,4.371212959289551,0.025,1
212,blind,1,7,1,3,4.97563099861145,0.025,1
212,blind,1,7,1,4,5.603576898574829,0.025,1
212,blind,1,7,1,5,6.274322986602783,0.025,1
212,blind,1,7,1,6,6.946310043334961,0.025,1
212,blind,1,7,1,7,7.550343036651611,0.025,1
212,blind,1,7,1,8,8.173360109329224,0.025,1
212,blind,1,7,1,9,8.877329111099243,0.025,1
212,blind,1,7,2,1,3.4575390815734863,0.025,1
212,blind,1,7,2,2,4.421555995941162,0.025,1
212,blind,1,7,2,3,5.061561107635498,0.025,1
212,blind,1,7,2,4,5.661526918411255,0.025,1
212,blind,1,7,2,5,6.243177890777588,0.025,1
212,blind,1,7,2,6,6.876193046569824,0.025,1
212,blind,1,7,2,7,7.497159957885742,0.025,1
212,blind,1,7,2,8,8.079214096069336,0.025,1
212,blind,1,7,2,9,8.68318796157837,0.025,1
212,blind,1,8,1,1,4.711565971374512,0.05,2
212,blind,1,8,1,2,5.5997161865234375,0.05,2
212,blind,1,8,1,3,6.2785890102386475,0.05,2
212,blind,1,8,1,4,6.861636161804199,0.05,2
212,blind,1,8,1,5,7.417258977890015,0.05,2
212,blind,1,8,1,6,8.00164008140564,0.05,2
212,blind,1,8,1,7,8.511666059494019,0.05,2
212,blind,1,8,1,8,9.05658507347107,0.05,2
212,blind,1,8,1,9,9.638651132583618,0.05,2
212,blind,1,8,2,1,5.254546165466309,0.05,2
212,blind,1,8,2,2,5.960689067840576,0.05,2
212,blind,1,8,2,3,6.6046271324157715,0.05,2
212,blind,1,8,2,4,7.671674966812134,0.05,2
212,blind,1,8,2,5,8.17960500717163,0.05,2
212,blind,1,8,2,6,8.677756071090698,0.05,2
212,blind,1,8,2,7,9.234562158584595,0.05,2
212,blind,1,8,2,8,9.962644100189209,0.05,2
212,blind,1,8,2,9,11.131654977798462,0.05,2
212,blind,1,9,1,1,3.6251840591430664,0.025,2
212,blind,1,9,1,2,4.235263109207153,0.025,2
212,blind,1,9,1,3,4.7921671867370605,0.025,2
212,blind,1,9,1,4,5.359186172485352,0.025,2
212,blind,1,9,1,5,5.925207138061523,0.025,2
212,blind,1,9,1,6,6.503216028213501,0.025,2
212,blind,1,9,1,7,7.120151996612549,0.025,2
212,blind,1,9,1,8,7.7201759815216064,0.025,2
212,blind,1,9,1,9,8.264178991317749,0.025,2
212,blind,1,9,2,1,3.235337018966675,0.025,2
212,blind,1,9,2,2,4.12128210067749,0.025,2
212,blind,1,9,2,3,4.7689971923828125,0.025,2
212,blind,1,9,2,4,5.372225999832153,0.025,2
212,blind,1,9,2,5,5.969266176223755,0.025,2
212,blind,1,9,2,6,6.541199207305908,0.025,2
212,blind,1,9,2,7,7.101042032241821,0.025,2
212,blind,1,9,2,8,7.667023181915283,0.025,2
212,blind,1,9,2,9,8.225028991699219,0.025,2
212,blind,1,10,1,1,3.412753105163574,0.025,1
212,blind,1,10,1,2,4.018573045730591,0.025,1
212,blind,1,10,1,3,4.55938720703125,0.025,1
212,blind,1,10,1,4,5.054358005523682,0.025,1
212,blind,1,10,1,5,5.593644142150879,0.025,1
212,blind,1,10,1,6,6.410685062408447,0.025,1
212,blind,1,10,1,7,6.919388055801392,0.025,1
212,blind,1,10,1,8,7.6897971630096436,0.025,1
212,blind,1,10,1,9,8.378350019454956,0.025,1
212,blind,1,10,2,1,3.518587112426758,0.025,1
212,blind,1,10,2,2,4.233607053756714,0.025,1
212,blind,1,10,2,3,5.17954421043396,0.025,1
212,blind,1,10,2,4,5.715682029724121,0.025,1
212,blind,1,10,2,5,6.186385154724121,0.025,1
212,blind,1,10,2,6,7.387842178344727,0.025,1
212,blind,1,10,2,7,8.479767084121704,0.025,1
212,blind,1,10,2,8,9.166368007659912,0.025,1
212,blind,1,10,2,9,10.591745138168335,0.025,1
212,blind,1,11,1,1,3.9615511894226074,0.05,1
212,blind,1,11,1,2,4.595546007156372,0.05,1
212,blind,1,11,1,3,5.285484075546265,0.05,1
212,blind,1,11,1,4,5.983715057373047,0.05,1
212,blind,1,11,1,5,6.709508180618286,0.05,1
212,blind,1,11,1,6,7.286636114120483,0.05,1
212,blind,1,11,1,7,7.906627178192139,0.05,1
212,blind,1,11,1,8,8.548736095428467,0.05,1
212,blind,1,11,1,9,9.181751012802124,0.05,1
212,blind,1,11,2,1,4.114505052566528,0.05,1
212,blind,1,11,2,2,4.755503177642822,0.05,1
212,blind,1,11,2,3,5.352487087249756,0.05,1
212,blind,1,11,2,4,5.973527193069458,0.05,1
212,blind,1,11,2,5,6.633536100387573,0.05,1
212,blind,1,11,2,6,7.2764880657196045,0.05,1
212,blind,1,11,2,7,7.886569023132324,0.05,1
212,blind,1,11,2,8,8.493750095367432,0.05,1
212,blind,1,11,2,9,9.076742172241211,0.05,1
212,blind,1,12,1,1,3.7020859718322754,0.025,1
212,blind,1,12,1,2,4.333011150360107,0.025,1
212,blind,1,12,1,3,4.924962997436523,0.025,1
212,blind,1,12,1,4,5.484930038452148,0.025,1
212,blind,1,12,1,5,6.08306097984314,0.025,1
212,blind,1,12,1,6,6.575998067855835,0.025,1
212,blind,1,12,1,7,7.194211959838867,0.025,1
212,blind,1,12,1,8,7.800137996673584,0.025,1
212,blind,1,12,1,9,8.448188066482544,0.025,1
212,blind,1,12,2,1,3.2972710132598877,0.025,1
212,blind,1,12,2,2,4.2821149826049805,0.025,1
212,blind,1,12,2,3,4.872974157333374,0.025,1
212,blind,1,12,2,4,5.442996978759766,0.025,1
212,blind,1,12,2,5,5.959079027175903,0.025,1
212,blind,1,12,2,6,6.543169975280762,0.025,1
212,blind,1,12,2,7,7.115178108215332,0.025,1
212,blind,1,12,2,8,7.661237001419067,0.025,1
212,blind,1,12,2,9,8.214164972305298,0.025,1
212,blind,1,13,1,1,4.323008060455322,0.025,2
212,blind,1,13,1,2,4.900959014892578,0.025,2
212,blind,1,13,1,3,5.590882062911987,0.025,2
212,blind,1,13,1,4,6.128879070281982,0.025,2
212,blind,1,13,1,5,6.66791296005249,0.025,2
212,blind,1,13,1,6,7.2049360275268555,0.025,2
212,blind,1,13,1,7,7.7339560985565186,0.025,2
212,blind,1,13,1,8,8.308954954147339,0.025,2
212,blind,1,13,1,9,8.9288330078125,0.025,2
212,blind,1,13,2,1,4.281764984130859,0.025,2
212,blind,1,13,2,2,5.021935939788818,0.025,2
212,blind,1,13,2,3,5.567745923995972,0.025,2
212,blind,1,13,2,4,6.142903089523315,0.025,2
212,blind,1,13,2,5,6.712875127792358,0.025,2
212,blind,1,13,2,6,7.270859956741333,0.025,2
212,blind,1,13,2,7,7.814945936203003,0.025,2
212,blind,1,13,2,8,8.37696099281311,0.025,2
212,blind,1,13,2,9,8.918714046478271,0.025,2
212,blind,1,14,1,1,3.426969051361084,0.05,1
212,blind,1,14,1,2,3.9487781524658203,0.05,1
212,blind,1,14,1,3,4.564974069595337,0.05,1
212,blind,1,14,1,4,5.088753938674927,0.05,1
212,blind,1,14,1,5,5.609739065170288,0.05,1
212,blind,1,14,1,6,6.11990213394165,0.05,1
212,blind,1,14,1,7,6.6520631313323975,0.05,1
212,blind,1,14,1,8,7.2261741161346436,0.05,1
212,blind,1,14,1,9,7.723186016082764,0.05,1
212,blind,1,14,2,1,3.2732200622558594,0.05,1
212,blind,1,14,2,2,4.067951917648315,0.05,1
212,blind,1,14,2,3,4.575977087020874,0.05,1
212,blind,1,14,2,4,5.0989439487457275,0.05,1
212,blind,1,14,2,5,5.619854927062988,0.05,1
212,blind,1,14,2,6,6.104954957962036,0.05,1
212,blind,1,14,2,7,6.600969076156616,0.05,1
212,blind,1,14,2,8,7.079198122024536,0.05,1
212,blind,1,14,2,9,7.557186126708984,0.05,1
212,blind,1,15,1,1,4.083312034606934,0.025,1
212,blind,1,15,1,2,4.6492438316345215,0.025,1
212,blind,1,15,1,3,5.339227914810181,0.025,1
212,blind,1,15,1,4,6.264201879501343,0.025,1
212,blind,1,15,1,5,7.299229860305786,0.025,1
