,pair,trial
5520,209,7
5546,209,9
5806,209,23
5853,209,26
5870,209,27
6477,209,60
6541,209,64
6564,209,65
6854,209,81
6931,209,86
7223,209,102
7346,209,109
7481,209,116
7547,209,120
7843,209,136
8157,209,154
8193,209,156
8868,209,193
9383,209,222
9463,209,226
9476,209,227
9622,209,235
9650,209,237
9855,209,248
10016,209,257
10370,209,277
