,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,jitter,ttap3
0,206,1,1,1,0.28803396224975586,0.8299410343170157,0.5678999423980722,124.93926932440887,124.93926932440887,1,0.075,0.2361280918121338
1,206,1,1,1,0.28803396224975586,0.8299410343170157,0.5678999423980722,124.93926932440887,124.93926932440887,2,0.075,0.5241620540618896
2,206,1,1,2,0.025992870330812327,0.6534328460693368,0.6075670719146721,14.32042079822156,14.320420798221562,1,0.075,1.0660691261291495
3,206,1,1,2,0.025992870330812327,0.6534328460693368,0.6075670719146721,14.32042079822156,14.320420798221562,2,0.075,1.0920619964599618
4,206,1,1,3,0.01987290382385254,0.6495010852813721,0.6444909572601327,11.014986023445372,11.014986023445372,2,0.075,1.6996290683746338
5,206,1,1,3,0.01987290382385254,0.6495010852813721,0.6444909572601327,11.014986023445372,11.014986023445372,1,0.075,1.7195019721984863
6,206,1,1,4,0.024883031845091885,0.6499638557434091,0.6189010143280022,13.78213786055428,13.782137860554284,2,0.075,2.3441200256347665
7,206,1,1,4,0.024883031845091885,0.6499638557434091,0.6189010143280022,13.78213786055428,13.782137860554284,1,0.075,2.3690030574798584
8,206,1,1,5,0.055945873260498935,0.6179831027984611,0.6540310382843018,32.59072017111108,32.59072017111109,2,0.075,2.963021039962769
9,206,1,1,5,0.055945873260498935,0.6179831027984611,0.6540310382843018,32.59072017111108,32.59072017111109,1,0.075,3.0189669132232675
10,206,1,1,6,0.019897937774658203,0.6460540294647217,0.6260068416595459,11.087706712102642,11.08770671210263,2,0.075,3.6170520782470703
11,206,1,1,6,0.019897937774658203,0.6460540294647217,0.6260068416595459,11.087706712102642,11.08770671210263,1,0.075,3.636950016021729
12,206,1,1,7,0.039945125579833984,0.6192939281463623,0.6491379737854013,23.22038785651011,23.220387856510115,2,0.075,4.243058919906616
13,206,1,1,7,0.039945125579833984,0.6192939281463623,0.6491379737854013,23.22038785651011,23.220387856510115,1,0.075,4.28300404548645
14,206,1,1,8,0.010101079940795009,0.6267440319061279,0.6059730052947989,5.802031760281447,5.802031760281437,2,0.075,4.8921968936920175
15,206,1,1,8,0.010101079940795009,0.6267440319061279,0.6059730052947989,5.802031760281447,5.802031760281437,1,0.075,4.9022979736328125
16,206,1,1,9,0.030872106552124023,,,,,2,0.075,5.498169898986816
17,206,1,1,9,0.030872106552124023,,,,,1,0.075,5.52904200553894
18,206,1,2,1,0.28341889381408597,0.8121368885040288,0.5536689758300777,184.28123342129336,175.71876657870664,1,0.075,0.4161431789398198
19,206,1,2,1,0.28341889381408597,0.8121368885040288,0.5536689758300777,184.28123342129336,175.71876657870664,2,0.075,0.6995620727539058
20,206,1,2,2,0.024950981140134942,1.5068860054016104,1.4528839588165292,6.182429887769773,6.1824298877697865,1,0.075,1.2282800674438483
21,206,1,2,2,0.024950981140134942,1.5068860054016104,1.4528839588165292,6.182429887769773,6.1824298877697865,2,0.075,1.2532310485839837
22,206,1,2,3,0.02905106544494629,0.639052152633667,0.6241090297698975,16.757302107993155,16.757302107993155,2,0.075,2.7061150074005127
23,206,1,2,3,0.02905106544494629,0.639052152633667,0.6241090297698975,16.757302107993155,16.757302107993155,1,0.075,2.735166072845459
24,206,1,2,4,0.04399418830871582,0.6669528484344482,0.616894006729126,25.673628886610366,25.67362888661037,2,0.075,3.33022403717041
25,206,1,2,4,0.04399418830871582,0.6669528484344482,0.616894006729126,25.673628886610366,25.67362888661037,1,0.075,3.3742182254791264
26,206,1,2,5,0.09405303001403807,0.6499791145324707,0.6350419521331787,53.317880324783495,53.317880324783495,2,0.075,3.947118043899536
27,206,1,2,5,0.09405303001403807,0.6499791145324707,0.6350419521331787,53.317880324783495,53.317880324783495,1,0.075,4.041171073913573
28,206,1,2,6,0.10899019241333008,0.6009948253631592,0.6820070743560791,57.53088310094754,57.53088310094754,2,0.075,4.582159996032715
29,206,1,2,6,0.10899019241333008,0.6009948253631592,0.6820070743560791,57.53088310094754,57.53088310094754,1,0.075,4.691150188446045
30,206,1,2,7,0.02797794342041016,0.6346740722656232,0.6729891300201416,14.966154997252653,14.96615499725266,2,0.075,5.264167070388794
31,206,1,2,7,0.02797794342041016,0.6346740722656232,0.6729891300201416,14.966154997252653,14.96615499725266,1,0.075,5.292145013809204
32,206,1,2,8,0.010337114334108222,0.6483440399169922,0.6180019378662109,6.0216011184815805,6.021601118481583,1,0.075,5.926819086074826
33,206,1,2,8,0.010337114334108222,0.6483440399169922,0.6180019378662109,6.0216011184815805,6.021601118481583,2,0.075,5.937156200408936
34,206,1,2,9,0.020004987716673032,,,,,2,0.075,6.5551581382751465
35,206,1,2,9,0.020004987716673032,,,,,1,0.075,6.57516312599182
36,206,1,3,1,0.24594688415527302,0.7999229431152348,0.5809631347656259,110.6867593409473,110.6867593409473,1,0.075,0.4569380283355717
37,206,1,3,1,0.24594688415527302,0.7999229431152348,0.5809631347656259,110.6867593409473,110.6867593409473,2,0.075,0.7028849124908447
38,206,1,3,2,0.026987075805664062,0.6787679195404044,0.6879370212554923,14.313209287524009,14.313209287524018,1,0.075,1.2568609714508066
39,206,1,3,2,0.026987075805664062,0.6787679195404044,0.6879370212554923,14.313209287524009,14.313209287524018,2,0.075,1.2838480472564706
40,206,1,3,3,0.03615617752075195,0.6570200920104979,0.674022912979126,19.810998271971762,19.810998271971755,1,0.075,1.935628890991211
41,206,1,3,3,0.03615617752075195,0.6570200920104979,0.674022912979126,19.810998271971762,19.810998271971755,2,0.075,1.9717850685119631
42,206,1,3,4,0.05315899848937988,0.6480090618133554,0.6049299240112296,29.5323639497017,29.532363949701704,1,0.075,2.592648983001709
43,206,1,3,4,0.05315899848937988,0.6480090618133554,0.6049299240112296,29.5323639497017,29.532363949701704,2,0.075,2.645807981491089
44,206,1,3,5,0.010079860687254085,0.6619880199432364,0.6619961261749276,5.481594436894229,5.481594436894226,1,0.075,3.2406580448150644
45,206,1,3,5,0.010079860687254085,0.6619880199432364,0.6619961261749276,5.481594436894229,5.481594436894226,2,0.075,3.2507379055023184
46,206,1,3,6,0.010087966918945312,0.6871669292449951,0.5891029834747314,5.2849867132146535,5.284986713214664,1,0.075,3.9026460647583012
47,206,1,3,6,0.010087966918945312,0.6871669292449951,0.5891029834747314,5.2849867132146535,5.284986713214664,2,0.075,3.912734031677246
48,206,1,3,7,0.08797597885131836,0.6129910945892352,0.6620090007781982,51.666904570118675,51.666904570118675,2,0.075,4.5018370151519775
49,206,1,3,7,0.08797597885131836,0.6129910945892352,0.6620090007781982,51.666904570118675,51.666904570118675,1,0.075,4.589812994003296
50,206,1,3,8,0.038958072662355285,0.6128509044647217,0.6669480800628679,22.884695210978908,22.884695210978922,2,0.075,5.163846015930176
51,206,1,3,8,0.038958072662355285,0.6128509044647217,0.6669480800628679,22.884695210978908,22.884695210978922,1,0.075,5.202804088592531
52,206,1,3,9,0.015139102935791016,,,,,1,0.075,5.815654993057254
53,206,1,3,9,0.015139102935791016,,,,,2,0.075,5.830794095993045
54,206,1,4,1,0.23204612731933594,0.8389210700988771,0.5897150039672852,141.65589356379203,141.65589356379203,1,0.075,0.664726972579956
55,206,1,4,1,0.23204612731933594,0.8389210700988771,0.5897150039672852,141.65589356379203,141.65589356379203,2,0.075,0.896773099899292
56,206,1,4,2,0.01715993881225586,0.6748280525207521,0.702103853225708,8.798666955081046,8.798666955081046,2,0.075,1.4864881038665771
57,206,1,4,2,0.01715993881225586,0.6748280525207521,0.702103853225708,8.798666955081046,8.798666955081046,1,0.075,1.503648042678833
58,206,1,4,3,0.010115861892700195,0.6479499340057373,0.6480050086975098,5.619879835021505,5.619879835021494,1,0.075,2.178476095199585
59,206,1,4,3,0.010115861892700195,0.6479499340057373,0.6480050086975098,5.619879835021505,5.619879835021494,2,0.075,2.1885919570922847
60,206,1,4,4,0.010170936584472656,0.6363890171051025,0.6160390377044678,5.9436771800275165,5.943677180027522,1,0.075,2.8264260292053223
61,206,1,4,4,0.010170936584472656,0.6363890171051025,0.6160390377044678,5.9436771800275165,5.943677180027522,2,0.075,2.836596965789795
62,206,1,4,5,0.01017904281616211,0.6438100337982178,0.6370439529418945,5.7522803519219625,5.752280351921967,2,0.075,3.4526360034942627
63,206,1,4,5,0.01017904281616211,0.6438100337982178,0.6370439529418945,5.7522803519219625,5.752280351921967,1,0.075,3.462815046310425
64,206,1,4,6,0.01694512367248535,0.6710128784179688,0.6420080661773682,9.501819125757537,9.501819125757551,2,0.075,4.089679956436156
65,206,1,4,6,0.01694512367248535,0.6710128784179688,0.6420080661773682,9.501819125757537,9.501819125757551,1,0.075,4.1066250801086435
66,206,1,4,7,0.04594993591308594,0.6609411239624023,0.5089359283447283,32.503063759936026,32.503063759936026,2,0.075,4.731688022613525
67,206,1,4,7,0.04594993591308594,0.6609411239624023,0.5089359283447283,32.503063759936026,32.503063759936026,1,0.075,4.777637958526611
68,206,1,4,8,0.19795513153075994,0.6249830722808821,0.7869851589202845,90.55297491104535,90.55297491104535,2,0.075,5.240623950958254
69,206,1,4,8,0.19795513153075994,0.6249830722808821,0.7869851589202845,90.55297491104535,90.55297491104535,1,0.075,5.438579082489014
70,206,1,4,9,0.03595304489135742,,,,,2,0.075,6.027609109878537
71,206,1,4,9,0.03595304489135742,,,,,1,0.075,6.063562154769897
72,206,1,5,1,0.2278180122375493,0.6097228527069092,0.8507080078124996,134.5110881795039,134.5110881795039,2,0.05,0.4639170169830318
73,206,1,5,1,0.2278180122375493,0.6097228527069092,0.8507080078124996,134.5110881795039,134.5110881795039,1,0.05,0.691735029220581
74,206,1,5,2,0.013167142868041104,0.7051560878753653,0.6620478630065927,6.722159127600997,6.722159127601002,1,0.05,1.3014578819274902
75,206,1,5,2,0.013167142868041104,0.7051560878753653,0.6620478630065927,6.722159127600997,6.722159127601002,2,0.05,1.3146250247955311
76,206,1,5,3,0.02994108200073153,0.6018109321594247,0.6739401817321786,17.91059109143594,17.91059109143595,2,0.05,1.976672887802124
77,206,1,5,3,0.02994108200073153,0.6018109321594247,0.6739401817321786,17.91059109143594,17.91059109143595,1,0.05,2.006613969802856
78,206,1,5,4,0.042188167572022366,0.6340069770812988,0.6339898109436026,23.955162758375334,23.955162758375334,1,0.05,2.6084249019622803
79,206,1,5,4,0.042188167572022366,0.6340069770812988,0.6339898109436026,23.955162758375334,23.955162758375334,2,0.05,2.650613069534302
80,206,1,5,5,0.04217100143432617,0.6400160789489746,0.6360251903533936,23.720592365879877,23.720592365879888,1,0.05,3.2424318790435787
81,206,1,5,5,0.04217100143432617,0.6400160789489746,0.6360251903533936,23.720592365879877,23.720592365879888,2,0.05,3.2846028804779053
82,206,1,5,6,0.03818011283874512,0.640017032623291,0.6132149696350098,21.475741927697026,21.47574192769701,1,0.05,3.8824479579925537
83,206,1,5,6,0.03818011283874512,0.640017032623291,0.6132149696350098,21.475741927697026,21.47574192769701,2,0.05,3.920628070831299
84,206,1,5,7,0.011378049850463869,0.6419749259948729,0.6407449245452899,6.380464065351526,6.380464065351533,1,0.05,4.522464990615845
85,206,1,5,7,0.011378049850463869,0.6419749259948729,0.6407449245452899,6.380464065351526,6.380464065351533,2,0.05,4.533843040466309
86,206,1,5,8,0.010148048400880684,0.6153831481933594,0.6391530036926271,5.936622468526134,5.9366224685261395,1,0.05,5.164439916610718
87,206,1,5,8,0.010148048400880684,0.6153831481933594,0.6391530036926271,5.936622468526134,5.9366224685261395,2,0.05,5.174587965011599
88,206,1,5,9,0.03391790390014826,,,,,1,0.05,5.779823064804077
89,206,1,5,9,0.03391790390014826,,,,,2,0.05,5.8137409687042245
90,206,1,6,1,0.2598199844360343,0.8330519199371338,0.6002168655395517,155.83566501899438,155.83566501899438,1,0.075,0.748427152633667
91,206,1,6,1,0.2598199844360343,0.8330519199371338,0.6002168655395517,155.83566501899438,155.83566501899438,2,0.075,1.0082471370697013
92,206,1,6,2,0.02698493003845215,0.667510986328125,0.6506490707397461,14.93059046837326,14.930590468373255,1,0.075,1.5814790725708008
