,sample,eventcode,eventname,alpha
4647,2692082,11,s1/t6,10.013357693311548
4648,2692514,21,s2/t7,35.95293294403811
4649,2692572,12,s1/t7,35.95293294403811
4650,2693021,13,s1/t8,57.58320867564413
4651,2693094,22,s2/t8,57.58320867564413
4652,2693505,14,s1/t9,
4653,2693555,23,s2/t9,
4654,2693565,49,,
4655,2695948,48,,
4656,2695997,4,,
4657,2696082,5,,
4658,2699385,6,s1/t1,146.73218394727888
4659,2699694,15,s2/t1,146.73218394727888
4660,2700143,7,s1/t2,29.198225948695665
4661,2700180,16,s2/t2,29.198225948695665
4662,2700601,8,s1/t3,23.380108832911557
4663,2700633,17,s2/t3,23.380108832911557
4664,2701083,9,s1/t4,28.12454992521833
4665,2701120,18,s2/t4,28.12454992521833
4666,2701559,10,s1/t5,7.650231245664543
4667,2701570,19,s2/t5,7.650231245664543
4668,2702028,20,s2/t6,35.1357252968227
4669,2702072,11,s1/t6,35.1357252968227
4670,2702477,21,s2/t7,34.72921163493919
4671,2702522,12,s1/t7,34.72921163493919
4672,2702959,22,s2/t8,17.912167251196962
4673,2702986,13,s1/t8,17.912167251196962
4674,2703413,23,s2/t9,
4675,2703517,14,s1/t9,
4676,2703528,49,,
4677,2705914,48,,
4678,2705963,4,,
4679,2706099,5,,
4680,2709473,6,s1/t1,158.81028304302708
4681,2709724,15,s2/t1,158.81028304302708
4682,2710173,16,s2/t2,11.833624735437553
4683,2710189,7,s1/t2,11.833624735437553
4684,2710627,8,s1/t3,18.286174098358604
4685,2710651,17,s2/t3,18.286174098358604
4686,2711089,9,s1/t4,20.614365527531874
4687,2711116,18,s2/t4,20.614365527531874
4688,2711559,10,s1/t5,22.987079200896826
4689,2711589,19,s2/t5,22.987079200896826
4690,2712035,11,s1/t6,18.982469935220596
4691,2712058,20,s2/t6,18.982469935220596
4692,2712505,21,s2/t7,8.958397219666779
4693,2712516,12,s1/t7,8.958397219666779
4694,2712955,22,s2/t8,14.78129580220488
4695,2712973,13,s1/t8,14.78129580220488
4696,2713387,23,s2/t9,
4697,2713422,14,s1/t9,
4698,2713433,49,,
4699,2716068,48,,
4700,2716116,5,,
4701,2716236,4,,
4702,2719336,15,s2/t1,15.03435637713784
4703,2719358,6,s1/t1,15.03435637713784
4704,2719824,16,s2/t2,33.94880039769163
4705,2719868,7,s1/t2,33.94880039769163
4706,2720291,17,s2/t3,35.22160681863693
4707,2720334,8,s1/t3,35.22160681863693
4708,2720759,18,s2/t4,8.749602348642528
4709,2720770,9,s1/t4,8.749602348642528
4710,2721215,19,s2/t5,8.571922494232325
4711,2721227,10,s1/t5,8.571922494232325
4712,2721654,20,s2/t6,32.85305294738916
4713,2721693,11,s1/t6,32.85305294738916
4714,2722094,21,s2/t7,18.851083913459266
4715,2722118,12,s1/t7,18.851083913459266
4716,2722545,22,s2/t8,21.71247058594264
4717,2722572,13,s1/t8,21.71247058594264
4718,2723000,23,s2/t9,
4719,2723024,14,s1/t9,
4720,2723035,49,,
4721,2725675,48,,
4722,2725724,4,,
4723,2725792,5,,
4724,2729250,15,s2/t1,175.61215222731408
4725,2729520,6,s1/t1,175.61215222731408
4726,2729804,16,s2/t2,102.82333332660689
4727,2729977,7,s1/t2,102.82333332660689
4728,2730409,17,s2/t3,19.302257068362533
4729,2730437,8,s1/t3,19.302257068362533
4730,2730916,9,s1/t4,18.76045238414932
4731,2730940,18,s2/t4,18.76045238414932
4732,2731386,10,s1/t5,15.892640391518741
4733,2731407,19,s2/t5,15.892640391518741
4734,2731875,11,s1/t6,16.4020354242098
4735,2731898,20,s2/t6,16.4020354242098
4736,2732354,12,s1/t7,32.642141029053896
4737,2732397,21,s2/t7,32.642141029053896
4738,2732829,13,s1/t8,22.1853175229825
4739,2732863,22,s2/t8,22.1853175229825
4740,2733285,14,s1/t9,
4741,2733418,23,s2/t9,
4742,2733429,49,,
4743,2736324,48,,
4744,2736372,5,,
4745,2736508,4,,
4746,2739777,15,s2/t1,176.7689720023233
4747,2740003,6,s1/t1,176.7689720023233
4748,2740465,7,s1/t2,26.162827683280252
4749,2740503,16,s2/t2,26.162827683280252
4750,2740983,8,s1/t3,8.28490440722993
4751,2740995,17,s2/t3,8.28490440722993
4752,2741476,9,s1/t4,10.890720208932947
4753,2741491,18,s2/t4,10.890720208932947
4754,2741959,10,s1/t5,8.43825184475915
4755,2741970,19,s2/t5,8.43825184475915
4756,2742421,20,s2/t6,8.657278670290339
4757,2742432,11,s1/t6,8.657278670290339
4758,2742878,21,s2/t7,14.927944189752367
4759,2742898,12,s1/t7,14.927944189752367
4760,2743341,22,s2/t8,25.31621342128139
4761,2743372,13,s1/t8,25.31621342128139
4762,2743809,14,s1/t9,
4763,2743834,23,s2/t9,
4764,2743844,49,,
4765,2746221,48,,
4766,2746269,4,,
4767,2746406,5,,
4768,2749917,15,s2/t1,81.60635587917469
4769,2750040,6,s1/t1,81.60635587917469
4770,2750461,16,s2/t2,40.36888595653394
4771,2750511,7,s1/t2,40.36888595653394
4772,2750906,17,s2/t3,24.145606878975173
4773,2750938,8,s1/t3,24.145606878975173
4774,2751385,18,s2/t4,18.030864896898407
4775,2751407,9,s1/t4,18.030864896898407
4776,2751834,19,s2/t5,27.785651964982208
4777,2751869,10,s1/t5,27.785651964982208
4778,2752289,20,s2/t6,52.99167871412738
4779,2752358,11,s1/t6,52.99167871412738
4780,2752761,21,s2/t7,19.087135720839427
4781,2752785,12,s1/t7,19.087135720839427
4782,2753230,22,s2/t8,39.0393975199631
4783,2753281,13,s1/t8,39.0393975199631
4784,2753700,23,s2/t9,
4785,2753729,14,s1/t9,
