,sample,eventcode,eventname,alpha
3867,2311123,18,s2/t4,27.465130327373714
3868,2311573,10,s1/t5,8.674043654528163
3869,2311584,19,s2/t5,8.674043654528163
3870,2312028,11,s1/t6,27.74683778461784
3871,2312064,20,s2/t6,27.74683778461784
3872,2312493,12,s1/t7,48.27768023371078
3873,2312556,21,s2/t7,48.27768023371078
3874,2312954,13,s1/t8,25.677365799667317
3875,2312989,22,s2/t8,25.677365799667317
3876,2313431,14,s1/t9,
3877,2313442,23,s2/t9,
3878,2313453,49,,
3879,2315833,41,,
3880,2326105,30,,
3881,2326189,3,,
3882,2327225,48,,
3883,2327264,5,,
3884,2327349,4,,
3885,2330704,6,s1/t1,174.4758141615794
3886,2330957,15,s2/t1,174.4758141615794
3887,2331467,7,s1/t2,8.877838730545532
3888,2331479,16,s2/t2,8.877838730545532
3889,2331929,8,s1/t3,8.23819096053262
3890,2331940,17,s2/t3,8.23819096053262
3891,2332386,9,s1/t4,16.942853617140088
3892,2332408,18,s2/t4,16.942853617140088
3893,2332880,10,s1/t5,8.806924373730908
3894,2332891,19,s2/t5,8.806924373730908
3895,2333344,20,s2/t6,12.308175668378285
3896,2333359,11,s1/t6,12.308175668378285
3897,2333792,21,s2/t7,30.184305453431055
