,index,sample,eventcode,eventname
5194,6395,4414965,10,s1/t5
5195,6396,4414978,19,s2/t5
5196,6397,4415435,20,s2/t6
5197,6398,4415476,11,s1/t6
5198,6399,4415938,21,s2/t7
5199,6400,4415949,12,s1/t7
5200,6401,4416433,22,s2/t8
5201,6402,4416454,13,s1/t8
5202,6403,4416899,14,s1/t9
5203,6404,4416910,23,s2/t9
5204,6409,4423135,6,s1/t1
5205,6410,4423292,15,s2/t1
5206,6411,4423746,7,s1/t2
5207,6412,4423795,16,s2/t2
5208,6413,4424227,8,s1/t3
5209,6414,4424252,17,s2/t3
5210,6415,4424699,9,s1/t4
5211,6416,4424730,18,s2/t4
5212,6417,4425166,19,s2/t5
5213,6418,4425181,10,s1/t5
5214,6419,4425619,20,s2/t6
5215,6420,4425682,11,s1/t6
5216,6421,4426100,21,s2/t7
5217,6422,4426142,12,s1/t7
5218,6423,4426594,22,s2/t8
5219,6424,4426605,13,s1/t8
5220,6425,4427056,23,s2/t9
5221,6426,4427067,14,s1/t9
5222,6431,4432747,15,s2/t1
5223,6432,4433044,6,s1/t1
5224,6433,4433316,16,s2/t2
5225,6434,4433412,7,s1/t2
5226,6435,4433798,8,s1/t3
5227,6436,4433830,17,s2/t3
5228,6437,4434278,9,s1/t4
5229,6438,4434316,18,s2/t4
5230,6439,4434766,10,s1/t5
5231,6440,4434800,19,s2/t5
5232,6441,4435243,11,s1/t6
5233,6442,4435255,20,s2/t6
5234,6443,4435721,12,s1/t7
5235,6444,4435732,21,s2/t7
5236,6445,4436189,13,s1/t8
5237,6446,4436201,22,s2/t8
5238,6447,4436663,23,s2/t9
5239,6448,4436674,14,s1/t9
5240,6453,4442509,15,s2/t1
5241,6454,4442640,6,s1/t1
5242,6455,4443016,16,s2/t2
5243,6456,4443060,7,s1/t2
5244,6457,4443517,17,s2/t3
5245,6458,4443539,8,s1/t3
5246,6459,4443993,9,s1/t4
5247,6460,4444005,18,s2/t4
5248,6461,4444471,19,s2/t5
5249,6462,4444483,10,s1/t5
5250,6463,4444951,11,s1/t6
5251,6464,4444962,20,s2/t6
5252,6465,4445402,12,s1/t7
5253,6466,4445416,21,s2/t7
5254,6467,4445892,22,s2/t8
5255,6468,4446332,13,s1/t8
5256,6469,4446365,23,s2/t9
5257,6470,4446777,14,s1/t9
5258,6475,4453309,15,s2/t1
5259,6476,4453545,6,s1/t1
5260,6477,4453787,16,s2/t2
5261,6478,4453919,7,s1/t2
5262,6479,4454264,8,s1/t3
5263,6480,4454275,17,s2/t3
5264,6481,4454734,9,s1/t4
5265,6482,4454756,18,s2/t4
5266,6483,4455220,10,s1/t5
5267,6484,4455246,19,s2/t5
5268,6485,4455729,20,s2/t6
5269,6486,4456119,11,s1/t6
5270,6487,4456222,21,s2/t7
5271,6488,4456621,12,s1/t7
5272,6489,4456702,22,s2/t8
5273,6490,4457101,13,s1/t8
5274,6491,4457170,23,s2/t9
5275,6492,4457549,14,s1/t9
5276,6497,4463645,15,s2/t1
5277,6498,4463923,6,s1/t1
5278,6499,4464157,16,s2/t2
5279,6500,4464260,7,s1/t2
5280,6501,4464620,8,s1/t3
5281,6502,4464652,17,s2/t3
5282,6503,4465107,9,s1/t4
5283,6504,4465125,18,s2/t4
5284,6505,4465571,10,s1/t5
5285,6506,4465595,19,s2/t5
5286,6507,4466048,11,s1/t6
5287,6508,4466079,20,s2/t6
5288,6509,4466517,12,s1/t7
5289,6510,4466551,21,s2/t7
5290,6511,4466989,13,s1/t8
5291,6512,4467025,22,s2/t8
5292,6513,4467464,14,s1/t9
5293,6514,4467476,23,s2/t9
5294,6519,4473481,15,s2/t1
5295,6520,4473904,6,s1/t1
5296,6521,4473946,16,s2/t2
5297,6522,4474372,7,s1/t2
5298,6523,4474404,17,s2/t3
5299,6524,4474872,8,s1/t3
5300,6525,4474883,18,s2/t4
5301,6526,4475297,9,s1/t4
5302,6527,4475331,19,s2/t5
5303,6528,4475756,10,s1/t5
5304,6529,4475778,20,s2/t6
5305,6530,4476232,21,s2/t7
5306,6531,4476244,11,s1/t6
5307,6532,4476684,22,s2/t8
5308,6533,4476697,12,s1/t7
5309,6534,4477163,23,s2/t9
5310,6535,4477204,13,s1/t8
5311,6536,4477661,14,s1/t9
5312,6541,4483850,15,s2/t1
5313,6542,4484154,6,s1/t1
5314,6543,4484349,16,s2/t2
5315,6544,4484528,7,s1/t2
5316,6545,4484820,8,s1/t3
5317,6546,4484844,17,s2/t3
5318,6547,4484964,9,s1/t4
5319,6548,4485352,18,s2/t4
5320,6549,4485440,10,s1/t5
5321,6550,4485887,11,s1/t6
5322,6551,4485904,19,s2/t5
5323,6552,4486372,12,s1/t7
5324,6553,4486406,20,s2/t6
5325,6554,4486861,13,s1/t8
5326,6555,4486873,21,s2/t7
5327,6556,4487345,14,s1/t9
5328,6557,4487376,22,s2/t8
5329,6558,4487837,23,s2/t9
5330,6563,4493666,15,s2/t1
5331,6564,4493691,6,s1/t1
5332,6565,4494154,7,s1/t2
5333,6566,4494200,16,s2/t2
5334,6567,4494654,8,s1/t3
5335,6568,4494670,17,s2/t3
5336,6569,4495140,9,s1/t4
5337,6570,4495160,18,s2/t4
5338,6571,4495617,10,s1/t5
5339,6572,4495635,19,s2/t5
5340,6573,4496093,11,s1/t6
5341,6574,4496112,20,s2/t6
5342,6575,4496561,12,s1/t7
5343,6576,4496589,21,s2/t7
5344,6577,4497034,13,s1/t8
5345,6578,4497046,22,s2/t8
5346,6579,4497519,14,s1/t9
5347,6580,4497531,23,s2/t9
5348,6585,4503760,15,s2/t1
5349,6586,4503947,6,s1/t1
5350,6587,4504224,16,s2/t2
5351,6588,4504360,7,s1/t2
5352,6589,4504726,17,s2/t3
5353,6590,4504748,8,s1/t3
5354,6591,4505184,18,s2/t4
5355,6592,4505212,9,s1/t4
5356,6593,4505669,19,s2/t5
5357,6594,4505690,10,s1/t5
5358,6595,4506129,20,s2/t6
5359,6596,4506144,11,s1/t6
5360,6597,4507088,21,s2/t7
5361,6598,4507249,12,s1/t7
5362,6599,4507524,22,s2/t8
5363,6600,4507647,13,s1/t8
5364,6601,4508042,23,s2/t9
5365,6602,4508078,14,s1/t9
5366,6607,4514355,15,s2/t1
5367,6608,4514395,6,s1/t1
5368,6609,4514869,7,s1/t2
5369,6610,4514894,16,s2/t2
5370,6611,4515334,8,s1/t3
5371,6612,4515399,17,s2/t3
5372,6613,4515852,9,s1/t4
5373,6614,4515870,18,s2/t4
5374,6615,4516339,10,s1/t5
5375,6616,4516351,19,s2/t5
5376,6617,4516842,11,s1/t6
5377,6618,4516854,20,s2/t6
5378,6619,4517340,21,s2/t7
5379,6620,4517351,12,s1/t7
