,index,sample,eventcode,eventname
452,571,1084265,16,s2/t2
453,572,1084899,7,s1/t2
454,573,1084921,17,s2/t3
455,574,1085539,18,s2/t4
456,575,1085567,8,s1/t3
457,576,1086152,19,s2/t5
458,577,1086185,9,s1/t4
459,578,1086743,20,s2/t6
460,579,1086803,10,s1/t5
461,580,1087351,21,s2/t7
462,581,1087405,11,s1/t6
463,582,1087940,22,s2/t8
464,583,1088023,12,s1/t7
465,584,1088555,23,s2/t9
466,585,1088622,13,s1/t8
467,586,1089180,14,s1/t9
468,591,1094897,15,s2/t1
469,592,1094928,6,s1/t1
470,593,1095480,7,s1/t2
471,594,1095499,16,s2/t2
472,595,1096090,17,s2/t3
473,596,1096125,8,s1/t3
474,597,1096687,18,s2/t4
475,598,1096716,9,s1/t4
476,599,1097267,19,s2/t5
477,600,1097300,10,s1/t5
478,601,1097856,20,s2/t6
479,602,1097906,11,s1/t6
480,603,1098434,21,s2/t7
481,604,1098499,12,s1/t7
482,605,1099034,22,s2/t8
483,606,1099110,13,s1/t8
484,607,1099592,23,s2/t9
485,608,1099673,14,s1/t9
486,613,1105962,6,s1/t1
487,614,1106092,15,s2/t1
488,615,1106662,7,s1/t2
489,616,1106685,16,s2/t2
490,617,1107257,17,s2/t3
491,618,1107324,8,s1/t3
492,619,1107849,9,s1/t4
493,620,1107859,18,s2/t4
494,621,1108432,19,s2/t5
495,622,1108474,10,s1/t5
496,623,1109016,20,s2/t6
497,624,1109041,11,s1/t6
498,625,1109587,21,s2/t7
499,626,1109636,12,s1/t7
500,627,1110156,22,s2/t8
501,628,1110167,13,s1/t8
502,629,1110737,23,s2/t9
503,630,1110768,14,s1/t9
504,635,1117895,15,s2/t1
505,636,1118085,6,s1/t1
506,637,1118520,16,s2/t2
507,638,1118623,7,s1/t2
508,639,1119092,17,s2/t3
509,640,1119167,8,s1/t3
510,641,1119642,9,s1/t4
511,642,1119653,18,s2/t4
512,643,1120213,19,s2/t5
513,644,1120302,10,s1/t5
514,645,1120842,11,s1/t6
