,index,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,ttap,jitter,ttap3
0,43200,203,1,1,1,0.10892200469970703,0.6608049869537362,0.714642047882081,59.339627372757406,59.339627372757406,1,3.4882519245147705,0.075,0.4882519245147705
1,43201,203,1,1,1,0.10892200469970703,0.6608049869537362,0.714642047882081,59.339627372757406,59.339627372757406,2,3.3793299198150635,0.075,0.3793299198150635
2,43202,203,1,1,2,0.055084943771362305,0.6690611839294425,0.6580829620361319,29.63941151274696,29.63941151274696,1,4.149056911468507,0.075,1.1490569114685067
3,43203,203,1,1,2,0.055084943771362305,0.6690611839294425,0.6580829620361319,29.63941151274696,29.63941151274696,2,4.093971967697144,0.075,1.0939719676971444
4,43204,203,1,1,3,0.06606316566467285,0.6558818817138672,0.649904966354371,36.26070532263552,36.260705322635516,1,4.818118095397949,0.075,1.8181180953979492
5,43205,203,1,1,3,0.06606316566467285,0.6558818817138672,0.649904966354371,36.26070532263552,36.260705322635516,2,4.752054929733276,0.075,1.7520549297332764
6,43206,203,1,1,4,0.07204008102416903,0.7119779586792001,0.6722021102905265,36.425887701372325,36.42588770137232,1,5.473999977111816,0.075,2.4739999771118164
7,43207,203,1,1,4,0.07204008102416903,0.7119779586792001,0.6722021102905265,36.425887701372325,36.42588770137232,2,5.401959896087647,0.075,2.4019598960876474
8,43208,203,1,1,5,0.11181592941284269,0.6640241146087638,0.6549708843231201,60.62089267999018,60.62089267999018,1,6.1859779357910165,0.075,3.1859779357910165
9,43209,203,1,1,5,0.11181592941284269,0.6640241146087638,0.6549708843231201,60.62089267999018,60.62089267999018,2,6.074162006378174,0.075,3.074162006378174
10,43210,203,1,1,6,0.12086915969848633,0.6579978466033936,0.6370041370391846,66.12923996038904,66.12923996038904,1,6.85000205039978,0.075,3.8500020503997803
11,43211,203,1,1,6,0.12086915969848633,0.6579978466033936,0.6370041370391846,66.12923996038904,66.12923996038904,2,6.729132890701294,0.075,3.729132890701294
12,43212,203,1,1,7,0.1418628692626953,0.715177059173584,0.6592490673065186,71.40977507525827,71.40977507525827,1,7.507999897003174,0.075,4.507999897003174
13,43213,203,1,1,7,0.1418628692626953,0.715177059173584,0.6592490673065186,71.40977507525827,71.40977507525827,2,7.3661370277404785,0.075,4.3661370277404785
14,43214,203,1,1,8,0.19779086112976074,0.6310291290283203,0.6757268905639666,112.83902237026244,112.83902237026244,1,8.223176956176758,0.075,5.223176956176758
15,43215,203,1,1,8,0.19779086112976074,0.6310291290283203,0.6757268905639666,112.83902237026244,112.83902237026244,2,8.025386095046997,0.075,5.025386095046997
16,43216,203,1,1,9,0.15309309959411443,,,,,1,8.854206085205078,0.075,5.854206085205078
17,43217,203,1,1,9,0.15309309959411443,,,,,2,8.701112985610964,0.075,5.701112985610964
18,43218,203,1,2,1,0.23496103286743208,0.7368729114532471,0.8369770050048837,101.06128522823873,101.06128522823873,1,3.2085340023040767,0.025,0.2085340023040767
19,43219,203,1,2,1,0.23496103286743208,0.7368729114532471,0.8369770050048837,101.06128522823873,101.06128522823873,2,3.443495035171509,0.025,0.4434950351715088
20,43220,203,1,2,2,0.3350651264190687,0.9069380760192876,0.790916919708252,152.5108927437783,152.5108927437783,1,3.9454069137573238,0.025,0.9454069137573238
21,43221,203,1,2,2,0.3350651264190687,0.9069380760192876,0.790916919708252,152.5108927437783,152.5108927437783,2,4.2804720401763925,0.025,1.2804720401763925
22,43222,203,1,2,3,0.21904397010803311,0.7909619808197021,0.745063066482544,105.83779117004377,105.83779117004377,1,4.852344989776611,0.025,1.8523449897766113
23,43223,203,1,2,3,0.21904397010803311,0.7909619808197021,0.745063066482544,105.83779117004377,105.83779117004377,2,5.071388959884644,0.025,2.0713889598846444
24,43224,203,1,2,4,0.1731450557708749,0.7960519790649414,0.6759901046752921,92.2087759072389,92.2087759072389,1,5.6433069705963135,0.025,2.6433069705963135
25,43225,203,1,2,4,0.1731450557708749,0.7960519790649414,0.6759901046752921,92.2087759072389,92.2087759072389,2,5.816452026367188,0.025,2.8164520263671884
26,43226,203,1,2,5,0.053083181381225586,0.7609360218048096,0.7179667949676523,26.61675363148543,26.616753631485437,1,6.439358949661255,0.025,3.439358949661255
27,43227,203,1,2,5,0.053083181381225586,0.7609360218048096,0.7179667949676523,26.61675363148543,26.616753631485437,2,6.4924421310424805,0.025,3.4924421310424805
28,43228,203,1,2,6,0.010113954544068271,0.7690300941467285,0.6828231811523438,5.332308182214795,5.332308182214803,1,7.2002949714660645,0.025,4.2002949714660645
29,43229,203,1,2,6,0.010113954544068271,0.7690300941467285,0.6828231811523438,5.332308182214795,5.332308182214803,2,7.210408926010133,0.025,4.210408926010133
30,43230,203,1,2,7,0.0760929584503165,0.6961729526519758,0.6924059391021702,39.56272396743813,39.56272396743813,1,7.969325065612793,0.025,4.969325065612793
31,43231,203,1,2,7,0.0760929584503165,0.6961729526519758,0.6924059391021702,39.56272396743813,39.56272396743813,2,7.8932321071624765,0.025,4.8932321071624765
32,43232,203,1,2,8,0.07985997200012207,0.6848909854888934,0.7028188705444354,40.9061155369565,40.90611553695649,1,8.665498018264769,0.025,5.665498018264769
33,43233,203,1,2,8,0.07985997200012207,0.6848909854888934,0.7028188705444354,40.9061155369565,40.90611553695649,2,8.585638046264647,0.025,5.585638046264647
34,43234,203,1,2,9,0.06193208694458008,,,,,1,9.350389003753662,0.025,6.350389003753662
35,43235,203,1,2,9,0.06193208694458008,,,,,2,9.288456916809082,0.025,6.288456916809082
36,43236,203,1,3,1,0.09080505371093794,0.6390428543090811,0.7040500640869154,51.15434609042169,51.15434609042168,1,3.649428129196167,0.075,0.649428129196167
37,43237,203,1,3,1,0.09080505371093794,0.6390428543090811,0.7040500640869154,51.15434609042169,51.15434609042168,2,3.558623075485229,0.075,0.558623075485229
38,43238,203,1,3,2,0.025797843933103692,0.6830551624298105,0.6689488887786856,13.596594135794511,13.596594135794504,1,4.288470983505248,0.075,1.2884709835052481
39,43239,203,1,3,2,0.025797843933103692,0.6830551624298105,0.6689488887786856,13.596594135794511,13.596594135794504,2,4.262673139572144,0.075,1.2626731395721444
40,43240,203,1,3,3,0.039904117584228516,0.6739637851715088,0.6760179996490479,21.31491727951906,21.31491727951905,1,4.971526145935059,0.075,1.9715261459350586
41,43241,203,1,3,3,0.039904117584228516,0.6739637851715088,0.6760179996490479,21.31491727951906,21.31491727951905,2,4.93162202835083,0.075,1.93162202835083
42,43242,203,1,3,4,0.03784990310668945,0.682514190673829,0.6908271312713623,19.96436895320174,19.964368953201728,1,5.645489931106567,0.075,2.6454899311065674
43,43243,203,1,3,4,0.03784990310668945,0.682514190673829,0.6908271312713623,19.96436895320174,19.964368953201728,2,5.607640027999878,0.075,2.607640027999878
44,43244,203,1,3,5,0.02953696250915616,0.6863138675689688,0.7295839786529532,15.493358076766034,15.493358076766043,1,6.328004121780396,0.075,3.3280041217803964
45,43245,203,1,3,5,0.02953696250915616,0.6863138675689688,0.7295839786529532,15.493358076766034,15.493358076766043,2,6.29846715927124,0.075,3.2984671592712402
46,43246,203,1,3,6,0.013733148574828213,0.7432610988616943,0.7193458080291757,6.651677983026152,6.651677983026161,1,7.014317989349365,0.075,4.014317989349365
47,43247,203,1,3,6,0.013733148574828213,0.7432610988616943,0.7193458080291757,6.651677983026152,6.651677983026161,2,7.0280511379241934,0.075,4.0280511379241934
48,43248,203,1,3,7,0.01018214225769043,0.6959679126739502,0.6959471702575684,5.266868121383946,5.266868121383936,1,7.75757908821106,0.075,4.75757908821106
