,pair,trial,alpha_lin
0,208,1,168.84476789957031
1,208,1,115.05694867803945
2,208,2,157.57815098867354
3,208,3,99.31944213075225
4,208,3,105.5657610230542
5,208,4,79.80242071856328
6,208,4,29.241221785973465
7,208,4,7.357892453157859
8,208,5,131.76372226362886
9,208,6,82.29963095216199
10,208,6,69.78306847171791
11,208,7,78.6122567492279
12,208,7,67.02982133526402
13,208,8,125.7471247873595
14,208,8,122.9168620990024
15,208,9,157.80035119734134
16,208,9,49.93463324273108
17,208,9,149.00292606197596
18,208,10,130.25022533193734
19,208,10,12.009868121945601
20,208,10,6.843184567743663
21,208,11,164.28515639025557
22,208,11,171.77876459921617
23,208,11,150.3033118939188
24,208,12,125.53376758848161
25,208,12,36.687120710240634
26,208,12,8.36832163571654
27,208,13,174.97517537651177
28,208,13,56.15309944565054
29,208,13,17.324981017463898
30,208,14,139.21043862174025
31,208,14,157.66345923181493
32,208,15,167.04088861818562
33,208,15,158.03323622638746
34,208,15,69.30892691726747
35,208,16,165.99901790926984
36,208,16,72.75106911786841
37,208,16,26.003477311172276
38,208,17,145.2675941292398
39,208,17,29.35152274182508
40,208,17,8.210756034522774
41,208,18,103.40395269265662
42,208,18,58.443371865416225
43,208,18,34.19418887211481
44,208,19,166.90632056180442
45,208,19,94.12279983110768
46,208,19,63.69550503642951
47,208,20,148.46577957281045
48,208,20,16.37118479590646
49,208,20,10.1515413338943
50,208,21,63.12459783718835
51,208,21,37.722070911459355
52,208,21,33.709970853234495
53,208,22,109.90956408449657
54,208,22,87.11685662652758
55,208,22,102.55996004491516
56,208,22,78.78288034546841
57,208,23,5.538946892388282
58,208,23,103.71799317482662
59,208,23,51.05996780654601
60,208,24,94.3571021543331
61,208,24,17.598473832050217
62,208,24,16.04098932793306
63,208,25,84.04959331803195
64,208,25,155.75778527983024
65,208,25,42.19924259280074
66,208,25,8.536319750751005
67,208,26,91.62948194160707
68,208,26,85.34466170080697
69,208,27,134.23509366036527
70,208,27,40.97825479912507
71,208,27,7.182267464647765
72,208,28,20.28111767029037
73,208,28,18.32962894841694
74,208,28,19.712629076112705
75,208,29,87.2922292670022
76,208,29,167.34479013267088
77,208,29,107.27917176176112
78,208,30,179.82289456278065
79,208,30,66.24371148817121
80,208,30,35.30528397005139
81,208,31,49.863478672016186
82,208,31,6.8828953504650485
83,208,31,24.202626913335195
84,208,32,117.28779550496745
85,208,32,87.81656681769778
86,208,32,78.5309077422628
87,208,33,60.39631407287257
88,208,33,29.040693886021728
89,208,33,56.81594922300343
90,208,34,159.64465528593172
91,208,34,22.420196155369467
92,208,34,15.682375525294447
93,208,35,176.06755672243978
94,208,35,94.32342006023194
95,208,35,48.521366896866255
96,208,36,161.61757827278444
97,208,36,44.4759311859745
98,208,37,152.53473232470157
99,208,37,67.54275055034412
100,208,37,19.9293716203712
101,208,38,107.63420726391183
102,208,38,23.94365373888121
103,208,38,12.03573772413759
104,208,39,119.79114917736638
105,208,39,123.4379646977077
106,208,39,118.7624105959542
107,208,40,161.74773203846087
108,208,40,118.9100138182749
109,208,40,44.75551467589554
110,208,40,6.968437629477108
111,208,41,73.55093352482561
112,208,41,96.74257760439518
113,208,41,100.85184356981055
114,208,42,6.770919220983274
115,208,42,6.793400856821819
116,208,42,29.06092159221737
117,208,43,121.75418878828462
118,208,43,59.99508684033955
119,208,43,73.6719574311962
120,208,44,7.072584228190493
121,208,44,7.072686393251615
122,208,44,24.72615877951148
123,208,45,148.16228317537784
124,208,45,98.75874431701634
125,208,45,105.11021017374777
126,208,46,96.6777481872305
127,208,46,112.88824088960207
128,208,46,122.49274981242677
129,208,47,114.44875730811515
130,208,47,32.35156561634784
131,208,47,55.129810786064
132,208,47,48.818980878009114
133,208,48,115.94977353905043
134,208,48,49.789563188517576
135,208,48,9.944547568338578
136,208,49,103.20480216462461
137,208,49,79.03312392918254
138,208,49,107.80669531016717
139,208,50,140.03287327917627
140,208,50,6.124532297916886
141,208,50,24.580380982419115
142,208,51,91.34566417102862
143,208,51,30.195147098348684
144,208,51,7.757473434698824
145,208,51,12.142819928879646
146,208,52,57.80037567375021
147,208,52,38.658650317967556
148,208,52,56.433743826143626
149,208,53,103.85654373953341
150,208,53,65.51692034587619
151,208,53,76.87674663473688
152,208,54,108.94717011798258
153,208,54,84.58084975789404
154,208,55,48.08323234435707
155,208,55,7.227393843081529
156,208,55,14.033407898121169
157,208,56,173.92502425460518
158,208,56,102.00951182756997
159,208,56,29.916792462692825
160,208,57,106.8349651373305
161,208,57,49.342951975817755
162,208,57,6.861716552501889
163,208,58,161.81174648461382
164,208,58,114.9504728609211
165,208,58,6.6935444372552695
166,208,58,9.298350759943958
167,208,59,175.22095484428993
168,208,59,106.41680441578004
169,208,59,21.736616287205635
170,208,60,105.10100759731492
171,208,60,171.6825926938214
172,208,61,141.39035368539112
173,208,61,99.51631643203011
174,208,61,18.98950453236995
175,208,62,73.9314601501484
176,208,62,8.099252288273476
177,208,62,15.863578301967124
178,208,63,103.85263631486953
179,208,63,174.7464215582521
180,208,63,172.9338015448737
181,208,64,49.60633047928695
182,208,64,43.753164603951916
183,208,64,16.647115901632247
184,208,65,143.0229393679999
185,208,65,173.57073859020443
186,208,65,92.56709219436237
187,208,66,83.67693341439221
188,208,66,68.14735904066472
189,208,66,12.84657171218015
190,208,67,98.80423244952465
191,208,67,30.72865694476485
192,208,67,16.175924982346714
193,208,68,14.367758531621746
194,208,68,6.021072525322666
195,208,68,18.817192176417166
196,208,68,35.182674385011296
197,208,69,156.98462995836957
