,pair,trial,alpha_lin
0,208,1,21.92859295495782
1,208,1,50.603842272311056
2,208,4,92.2466421078587
3,208,7,28.368587546646268
4,208,7,14.680841492180548
5,208,10,14.640468386771857
6,208,10,19.224793155251803
7,208,11,35.039444125625835
8,208,11,51.23185832364885
9,208,12,16.622417892937563
10,208,12,11.859255958180484
11,208,13,57.496077367990296
12,208,13,50.250552621313545
13,208,14,27.979456066788202
14,208,14,37.742841997488085
15,208,15,19.505213479277558
16,208,15,11.500628377600293
17,208,16,15.888961863785028
18,208,16,13.58158352893193
19,208,17,20.095292246349175
20,208,17,6.133767960787509
21,208,18,6.3014955235415755
22,208,18,6.788636281119892
23,208,19,48.971088279694584
24,208,19,39.598709678444266
25,208,20,72.26587196118389
26,208,20,32.04931096713571
27,208,21,29.99507954731783
28,208,21,7.085790947797619
29,208,22,18.131152244429813
30,208,23,104.29933198345803
31,208,23,97.51057364683574
32,208,24,50.37043758364854
33,208,24,28.69597019039182
34,208,25,4.842781795876789
35,208,25,90.65649967478826
36,208,26,30.6159927352075
37,208,27,88.15627783801288
38,208,27,52.47638598057114
39,208,28,59.66869961392116
40,208,28,13.696257346116965
41,208,29,72.33216713733874
42,208,29,123.71433076614589
43,208,30,138.8911301592192
44,208,30,125.74083656518508
45,208,31,54.929005093758065
46,208,31,66.4259684081405
47,208,32,129.21887778489906
48,208,32,58.695722560666354
49,208,33,70.2584348761337
50,208,33,27.91075626415258
51,208,34,44.746590169078104
52,208,34,41.5494732680437
53,208,35,63.55693958356872
54,208,35,44.89826736051569
55,208,36,8.411217927468613
56,208,36,42.06842465268875
57,208,37,74.94396865450939
58,208,37,40.976279003579975
59,208,38,29.29516387206371
60,208,38,26.94126033576228
61,208,39,171.59412090174987
62,208,39,140.94479721824018
63,208,40,28.26244585132335
64,208,40,6.23368383581257
65,208,41,156.40983052223004
66,208,42,44.547678927210654
67,208,42,55.60767351169278
68,208,43,77.16624686694334
69,208,43,43.54679640607441
70,208,44,34.74439797528285
71,208,44,36.71604161754672
72,208,45,119.25138513502371
73,208,45,132.9134128727448
74,208,46,123.99894501659955
75,208,46,47.05402487159523
76,208,47,10.982650048943668
77,208,47,42.662081338289255
78,208,48,52.11517660485255
79,208,48,33.10806839272337
80,208,49,143.23727964061854
81,208,49,165.10494635272502
82,208,50,11.359203081664361
83,208,50,22.46657167630883
84,208,51,23.267597967742688
85,208,51,27.593480772920856
86,208,52,91.75565729655297
87,208,52,85.05894492148528
88,208,53,141.08818364245755
89,208,53,160.09349096027967
90,208,55,6.985066117665724
91,208,55,6.73713500398776
92,208,56,34.35336555136652
93,208,56,38.75710153479852
94,208,58,39.1731760717264
95,208,58,22.34650124789468
96,208,59,67.13774304301191
97,208,59,64.78527521179647
98,208,60,67.45771537307144
99,208,60,23.608001924974644
100,208,61,7.285051569009482
101,208,61,19.43187518919629
102,208,62,74.39499362769556
103,208,62,48.646853345000466
104,208,63,83.97004621826662
105,208,63,64.71133627383531
106,208,64,20.050178561198322
107,208,64,54.65320000923583
108,208,65,48.2251064048084
109,208,66,12.149166672306876
110,208,66,7.0628973680832985
111,208,69,24.715599820450336
112,208,70,43.92008552913785
113,208,71,45.963863925092255
114,208,71,26.84477407017519
115,208,72,33.84779513505924
116,208,72,11.089896946838763
117,208,73,23.25403269787853
118,208,73,6.9598385099609175
119,208,75,7.068924162451481
120,208,75,10.787946705367887
121,208,76,7.3066815862197245
122,208,76,7.3119752252964645
123,208,77,29.120780593613006
124,208,77,24.59772515188436
125,208,78,62.09365823926453
126,208,78,58.98692874371042
127,208,79,76.98610731280438
128,208,79,80.01584445934108
129,208,80,59.03274978758486
130,208,80,12.705987751017119
131,208,82,32.62213830753183
132,208,82,53.689496746851304
133,208,83,69.56553973443592
134,208,83,56.13481942176348
135,208,84,72.84870335622321
136,208,84,34.961368870867204
137,208,85,59.15478896862223
138,208,85,55.83470169677065
139,208,86,37.64546741404152
140,208,86,27.209280260721926
141,208,86,29.392189919274642
142,208,87,27.815965451093405
143,208,87,23.356894410670265
144,208,88,40.82681564245817
145,208,88,6.102222020866918
146,208,89,6.711346159690635
147,208,89,6.798625941632849
148,208,90,45.324316874621076
149,208,90,39.41505991295156
150,208,91,49.85623300005179
151,208,91,31.010404144536267
152,208,92,39.47501831602162
153,208,92,50.10948210205572
154,208,93,18.20220274883016
155,208,93,7.3360844834389525
156,208,94,6.887061692677662
157,208,94,47.35071461353385
158,208,95,66.9765547649776
159,208,95,54.784243877862906
160,208,96,53.12876456577865
161,208,96,47.407481459160806
